eco Escherichia coli
msy Mycoplasma synoviae
mcp Mycoplasma capricolum
uur Ureaplasma urealyticum
poy Phytoplasma OY
ayw Phytoplasma AYWB
mfl Mesoplasma florum
mtu Mycobacterium tuberculosis
mbo Mycobacterium bovis
mle Mycobacterium leprae
mpa Mycobacterium avium
mmc Mycobacterium sp
msm Mycobacterium smegmatis
mul Mycobacterium ulcerans
mva Mycobacterium vanbaalenii
cgl Corynebacterium glutamicum
cef Corynebacterium efficiens
cdi Corynebacterium diphtheriae
cjk Corynebacterium jeikeium
nfa Nocardia farcinica
rha Rhodococcus sp
sco Streptomyces coelicolor
sma Streptomyces avermitilis
twh Tropheryma whipplei
lxx Leifsonia xyli
art Arthrobacter sp
aau Arthrobacter aurescens
pac Propionibacterium acnes
nca Nocardioides sp
tfu Thermobifida fusca
fra Frankia sp
fal Frankia alni
ace Acidothermus cellulolyticus
blo Bifidobacterium longum
bad Bifidobacterium adolescentis
sth Symbiobacterium thermophilum
rxy Rubrobacter xylanophilus
fnu Fusobacterium nucleatum
rba Rhodopirellula baltica
ctr Chlamydia trachomatis
cmu Chlamydia muridarum
cpn Chlamydophila pneumoniae
cca Chlamydophila caviae
cab Chlamydophila abortus
cfe Chlamydophila felis
pcu Protochlamydia amoebophila
bbu Borrelia burgdorferi
bga Borrelia garinii
baf Borrelia afzelii
tpa Treponema pallidum
tde Treponema denticola
lil Leptospira interrogans
lbj Leptospira borgpetersenii
syn Synechocystis sp
syw Synechococcus sp
syc Synechococcus elongatus
cya Cyanobacteria Yellowstone
tel Thermosynechococcus elongatus
gvi Gloeobacter violaceus
ana Anabaena sp
ava Anabaena variabilis
pma Prochlorococcus marinus
ter Trichodesmium erythraeum
bth Bacteroides thetaiotaomicron
bfr Bacteroides fragilis
pgi Porphyromonas gingivalis
sru Salinibacter ruber
chu Cytophaga hutchinsonii
gfo Gramella forsetii
cte bacterX Chlorobium
plt bacterX Pelodictyon
det baX Dehalococcoides
dra Deinococcus radiodurans
dge Deinococcus geothermalis
tth Thermus thermophilus
aae Aquifex aeolicus
tma Thermotoga maritim
