eco Escherichia coli
sty Salmonella enterica
stm Salmonella typhimurium
ype Yersinia pestis
yps Yersinia pseudotuberculosis
yen Yersinia enterocolitica
sfl Shigella flexneri
ssn Shigella sonnei
sbo Shigella boydii
sdy Shigella dysenteriae
eca Erwinia carotovora
plu Photorhabdus luminescens
buc Buchnera aphidicola
wbr Wigglesworthia glossinidia
sgl Sodalis glossinidius
bfl Blochmannia floridanus
bpn Blochmannia pennsylvanicus
hin Haemophilus influenzae
hdu Haemophilus ducreyi
hso Haemophilus somnus
pmu Pasteurella multocida
msu Mannheimia succiniciproducens
apl Actinobacillus pleuropneumoniae
xfa Xylella fastidiosa
xcc Xanthomonas campestris
xac Xanthomonas axonopodis
xoo Xanthomonas oryzae
vch Vibrio cholerae
vvu Vibrio vulnificus
vpa Vibrio parahaemolyticus
vfi Vibrio fischeri
ppr Photobacterium profundum
pae Pseudomonas aeruginosa
ppu Pseudomonas putida
pst Pseudomonas syringae
pfl Pseudomonas fluorescens
pen Pseudomonas entomophila
par Psychrobacter arcticum
pcr Psychrobacter cryohalolentis
aci Acinetobacter sp
acb Acinetobacter baumannii
son Shewanella oneidensis
sdn Shewanella denitrificans
sfr Shewanella frigidimarina
saz Shewanella amazonensis
sbl Shewanella baltica
slo Shewanella loihica
she Shewanella sp
ilo Idiomarina loihiensis
cps Colwellia psychrerythraea
pha Pseudoalteromonas haloplanktis
pat Pseudoalteromonas atlantica
sde Saccharophagus degradans
pin Psychromonas ingrahamii
maq Marinobacter aquaeolei
cbu Coxiella burnetii
lpn Legionella pneumophila
mca Methylococcus capsulatus
ftu Francisella tularensis
tcx Thiomicrospira crunogena
noc Nitrosococcus oceani
aeh Alkalilimnicola ehrlichei
hha Halorhodospira halophila
hch Hahella chejuensis
csa Chromohalobacter salexigens
abo Alcanivorax borkumensis
aha Aeromonas hydrophila
bci Baumannia cicadellinicola
crp Carsonella ruddii
rma Ruthia magnifica
nme Neisseria meningitidis
ngo Neisseria gonorrhoeae
cvi Chromobacterium violaceum
rso Ralstonia solanacearum
reu Ralstonia eutropha
rme Ralstonia metallidurans
bma Burkholderia mallei
bxe Burkholderia xenovorans
bur Burkholderia sp
bcn Burkholderia cenocepacia
bam Burkholderia cepacia
bps Burkholderia pseudomallei
bte Burkholderia thailandensis
bpe Bordetella pertussis
bpa Bordetella parapertussis
bbr Bordetella bronchiseptica
rfr Rhodoferax ferrireducens
pol Polaromonas sp
pna Polaromonas naphthalenivorans
aav Acidovorax avenae
ajs Acidovorax sp
vei Verminephrobacter eiseniae
mpt Methylibium petroleiphilum
neu Nitrosomonas europaea
net Nitrosomonas eutropha
nmu Nitrosospira multiformis
eba Azoarcus sp
dar Dechloromonas aromatica
tbd Thiobacillus denitrificans
mfa Methylobacillus flagellatus
hpy Helicobacter pylori
hhe Helicobacter hepaticus
hac Helicobacter acinonychis
wsu Wolinella succinogenes
tdn Thiomicrospira denitrificans
cje Campylobacter jejuni
cff Campylobacter fetus
gsu Geobacter sulfurreducens
gme Geobacter metallireducens
pca Pelobacter carbinolicus
ppd Pelobacter propionicus
dvu Desulfovibrio vulgaris
dde Desulfovibrio desulfuricans
lip Lawsonia intracellularis
bba Bdellovibrio bacteriovorus
dps Desulfotalea psychrophila
ade Anaeromyxobacter dehalogenans
mxa Myxococcus xanthus
sat Syntrophus aciditrophicus
sfu Syntrophobacter fumaroxidans
rpr Rickettsia prowazekii
rty Rickettsia typhi
rco Rickettsia conorii
rfe Rickettsia felis
rbe Rickettsia bellii
wol Wolbachia wMel
wbm Wolbachia wBm
ama Anaplasma marginale
aph Anaplasma phagocytophilum
eru Ehrlichia ruminantium
ecn Ehrlichia canis
ech Ehrlichia chaffeensis
nse Neorickettsia sennetsu
pub Pelagibacter ubique
mlo Mesorhizobium loti
mes Mesorhizobium sp
sme Sinorhizobium meliloti
atu Agrobacterium tumefaciens
ret Rhizobium etli
rle Rhizobium leguminosarum
bme Brucella melitensis
bms Brucella suis
bmb Brucella abortus
bja Bradyrhizobium japonicum
rpa Rhodopseudomonas palustris
nwi Nitrobacter winogradskyi
nha Nitrobacter hamburgensis
bhe Bartonella henselae
bqu Bartonella quintana
bbk Bartonella bacilliformis
ccr Caulobacter crescentus
sil Silicibacter pomeroyi
sit Silicibacter sp
rsp Rhodobacter sphaeroides
jan Jannaschia sp
rde Roseobacter denitrificans
pde Paracoccus denitrificans
mmr Maricaulis maris
hne Hyphomonas neptunium
zmo Zymomonas mobilis
nar Novosphingobium aromaticivorans
sal Sphingopyxis alaskensis
eli Erythrobacter litoralis
gox Gluconobacter oxydans
gbe Granulobacter bethesdensis
rru Rhodospirillum rubrum
mag Magnetospirillum magneticum
mgm Magnetococcus sp
aba Acidobacteria bacterium
sus Solibacter usitatus
bsu Bacillus subtilis
bha Bacillus halodurans
ban Bacillus anthracis
bce Bacillus cereus
btk Bacillus thuringiensis
bli Bacillus licheniformis
bcl Bacillus clausii
oih Oceanobacillus iheyensis
gka Geobacillus kaustophilus
sau Staphylococcus aureus
sep Staphylococcus epidermidis
sha Staphylococcus haemolyticus
ssp Staphylococcus saprophyticus
lmo Listeria monocytogenes
lin Listeria innocua
lwe Listeria welshimeri
lla Lactococcus lactis
spy Streptococcus pyogenes
spn Streptococcus pneumoniae
sag Streptococcus agalactiae
smu Streptococcus mutans
stc Streptococcus thermophilus
ssa Streptococcus sanguinis
lpl Lactobacillus plantarum
ljo Lactobacillus johnsonii
lac Lactobacillus acidophilus
lsa Lactobacillus sakei
lsl Lactobacillus salivarius
ldb Lactobacillus delbrueckii
lbr Lactobacillus brevis
lca Lactobacillus casei
lga Lactobacillus gasseri
ppe Pediococcus pentosaceus
efa Enterococcus faecalis
ooe Oenococcus oeni
lme Leuconostoc mesenteroides
cac Clostridium acetobutylicum
cpe Clostridium perfringens
ctc Clostridium tetani
cno Clostridium novyi
cth Clostridium thermocellum
cdf Clostridium difficile
chy Carboxydothermus hydrogenoformans
dsy Desulfitobacterium hafniense
swo Syntrophomonas wolfei
tte Thermoanaerobacter tengcongensis
mta Moorella thermoacetica
mge Mycoplasma genitalium
mpn Mycoplasma pneumoniae
mpu Mycoplasma pulmonis
mpe Mycoplasma penetrans
mga Mycoplasma gallisepticum
mmy Mycoplasma mycoides
mmo Mycoplasma mobile
mhy Mycoplasma hyopneumoniae
