"","t641736153_Clostridium_perfringens","t637000117_Fusobacterium_nucleatum","t646564540_Lactobacillus_johnsonii","t645058712_Lactobacillus_gasseri","t639633029_Lactobacillus_delbrueckii","t650716045_Lactobacillus_acidophilus","t651053039_Lactobacillus_casei","t637000143_Lactobacillus_salivarius","t637000141_Lactobacillus_plantarum","t643886059_Lactobacillus_brevis","t2511231143_Leuconostoc_mesenteroides","t648231713_Lactococcus_lactis","t637000303_Streptococcus_thermophilus","t649989932_Enterococcus_faecalis","t649633011_Bacillus_subtilis","t640963015_Bifidobacterium_adolescentis","t649633018_Bifidobacterium_longum","t2511231063_Propionibacterium_acnes","t637000209_Porphyromonas_gingivalis","t645058788_Bacteroides_fragilis","t637000026_Bacteroides_thetaiotaomicron","t646862310_Campylobacter_jejuni","t637000341_Wolinella_succinogenes","t643348538_Desulfovibrio_desulfuricans","t640427143_Shigella_sonnei","t637000261_Shigella_boydii","t638341196_Shigella_dysenteriae","t646862326_Escherichia_coli","t637000265_Shigella_flexneri","t637000255_Salmonella_enterica","t647000299_Pseudomonas_aeruginosa"
"t641736153_Clostridium_perfringens",0,1334.245,1721.5243,1731.0257,1819.2808,1753.3095,1743.3406,1649.412,1771.0043,1796.1083,1935.4236,1758.8204,1760.1534,1629.1164,1931.407,2647.9166,2680.5112,2641.1138,2660.6328,2819.2145,2809.5415,2482.3549,2367.0049,2537.8509,3467.88183,3456.38312,3499.1249,3517.1054,3449.86582,3454.1556,3160.3859
"t637000117_Fusobacterium_nucleatum",1334.245,0,1702.7393,1712.2407,1800.4958,1734.5245,1724.5556,1630.627,1752.2193,1777.3233,1916.6386,1740.0354,1741.3684,1610.3314,1912.622,2864.0356,2896.6302,2857.2328,2876.7518,3035.3335,3025.6605,2698.4739,2583.1239,2753.9699,3684.00083,3672.50212,3715.2439,3733.2244,3665.98482,3670.2746,3376.5049
"t646564540_Lactobacillus_johnsonii",1721.5243,1702.7393,0,58.4274,221.5459,155.5746,467.1717,443.3485,564.9408,590.0448,729.3601,730.8427,732.1757,601.1387,1330.6233,3251.3149,3283.9095,3244.5121,3264.0311,3422.6128,3412.9398,3085.7532,2970.4032,3141.2492,4071.28013,4059.78142,4102.5232,4120.5037,4053.26412,4057.5539,3763.7842
"t645058712_Lactobacillus_gasseri",1731.0257,1712.2407,58.4274,0,231.0473,165.076,476.6731,452.8499,574.4422,599.5462,738.8615,740.3441,741.6771,610.6401,1340.1247,3260.8163,3293.4109,3254.0135,3273.5325,3432.1142,3422.4412,3095.2546,2979.9046,3150.7506,4080.78153,4069.28282,4112.0246,4130.0051,4062.76552,4067.0553,3773.2856
"t639633029_Lactobacillus_delbrueckii",1819.2808,1800.4958,221.5459,231.0473,0,214.6387,564.9282,541.105,662.6973,687.8013,827.1166,828.5992,829.9322,698.8952,1428.3798,3349.0714,3381.666,3342.2686,3361.7876,3520.3693,3510.6963,3183.5097,3068.1597,3239.0057,4169.03663,4157.53792,4200.2797,4218.2602,4151.02062,4155.3104,3861.5407
"t650716045_Lactobacillus_acidophilus",1753.3095,1734.5245,155.5746,165.076,214.6387,0,498.9569,475.1337,596.726,621.83,761.1453,762.6279,763.9609,632.9239,1362.4085,3283.1001,3315.6947,3276.2973,3295.8163,3454.398,3444.725,3117.5384,3002.1884,3173.0344,4103.06533,4091.56662,4134.3084,4152.2889,4085.04932,4089.3391,3795.5694
"t651053039_Lactobacillus_casei",1743.3406,1724.5556,467.1717,476.6731,564.9282,498.9569,0,465.1648,586.7571,611.8611,751.1764,752.659,753.992,622.955,1352.4396,3273.1312,3305.7258,3266.3284,3285.8474,3444.4291,3434.7561,3107.5695,2992.2195,3163.0655,4093.09643,4081.59772,4124.3395,4142.32,4075.08042,4079.3702,3785.6005
"t637000143_Lactobacillus_salivarius",1649.412,1630.627,443.3485,452.8499,541.105,475.1337,465.1648,0,427.4383,452.5423,591.8576,658.7304,660.0634,529.0264,1258.511,3179.2026,3211.7972,3172.3998,3191.9188,3350.5005,3340.8275,3013.6409,2898.2909,3069.1369,3999.16783,3987.66912,4030.4109,4048.3914,3981.15182,3985.4416,3691.6719
"t637000141_Lactobacillus_plantarum",1771.0043,1752.2193,564.9408,574.4422,662.6973,596.726,586.7571,427.4383,0,421.574,628.7207,780.3227,781.6557,650.6187,1380.1033,3300.7949,3333.3895,3293.9921,3313.5111,3472.0928,3462.4198,3135.2332,3019.8832,3190.7292,4120.76013,4109.26142,4152.0032,4169.9837,4102.74412,4107.0339,3813.2642
"t643886059_Lactobacillus_brevis",1796.1083,1777.3233,590.0448,599.5462,687.8013,621.83,611.8611,452.5423,421.574,0,653.8247,805.4267,806.7597,675.7227,1405.2073,3325.8989,3358.4935,3319.0961,3338.6151,3497.1968,3487.5238,3160.3372,3044.9872,3215.8332,4145.86413,4134.36542,4177.1072,4195.0877,4127.84812,4132.1379,3838.3682
"t2511231143_Leuconostoc_mesenteroides",1935.4236,1916.6386,729.3601,738.8615,827.1166,761.1453,751.1764,591.8576,628.7207,653.8247,0,944.742,946.075,815.038,1544.5226,3465.2142,3497.8088,3458.4114,3477.9304,3636.5121,3626.8391,3299.6525,3184.3025,3355.1485,4285.17943,4273.68072,4316.4225,4334.403,4267.16342,4271.4532,3977.6835
"t648231713_Lactococcus_lactis",1758.8204,1740.0354,730.8427,740.3441,828.5992,762.6279,752.659,658.7304,780.3227,805.4267,944.742,0,354.167,545.242,1367.9194,3288.611,3321.2056,3281.8082,3301.3272,3459.9089,3450.2359,3123.0493,3007.6993,3178.5453,4108.57623,4097.07752,4139.8193,4157.7998,4090.56022,4094.85,3801.0803
"t637000303_Streptococcus_thermophilus",1760.1534,1741.3684,732.1757,741.6771,829.9322,763.9609,753.992,660.0634,781.6557,806.7597,946.075,354.167,0,546.575,1369.2524,3289.944,3322.5386,3283.1412,3302.6602,3461.2419,3451.5689,3124.3823,3009.0323,3179.8783,4109.90923,4098.41052,4141.1523,4159.1328,4091.89322,4096.183,3802.4133
"t649989932_Enterococcus_faecalis",1629.1164,1610.3314,601.1387,610.6401,698.8952,632.9239,622.955,529.0264,650.6187,675.7227,815.038,545.242,546.575,0,1238.2154,3158.907,3191.5016,3152.1042,3171.6232,3330.2049,3320.5319,2993.3453,2877.9953,3048.8413,3978.87223,3967.37352,4010.1153,4028.0958,3960.85622,3965.146,3671.3763
"t649633011_Bacillus_subtilis",1931.407,1912.622,1330.6233,1340.1247,1428.3798,1362.4085,1352.4396,1258.511,1380.1033,1405.2073,1544.5226,1367.9194,1369.2524,1238.2154,0,3461.1976,3493.7922,3454.3948,3473.9138,3632.4955,3622.8225,3295.6359,3180.2859,3351.1319,4281.16283,4269.66412,4312.4059,4330.3864,4263.14682,4267.4366,3973.6669
"t640963015_Bifidobacterium_adolescentis",2647.9166,2864.0356,3251.3149,3260.8163,3349.0714,3283.1001,3273.1312,3179.2026,3300.7949,3325.8989,3465.2142,3288.611,3289.944,3158.907,3461.1976,0,122.4062,1173.9388,3095.4518,3254.0335,3244.3605,2917.1739,2801.8239,2972.6699,3902.70083,3891.20212,3933.9439,3951.9244,3884.68482,3888.9746,3595.2049
"t649633018_Bifidobacterium_longum",2680.5112,2896.6302,3283.9095,3293.4109,3381.666,3315.6947,3305.7258,3211.7972,3333.3895,3358.4935,3497.8088,3321.2056,3322.5386,3191.5016,3493.7922,122.4062,0,1206.5334,3128.0464,3286.6281,3276.9551,2949.7685,2834.4185,3005.2645,3935.29543,3923.79672,3966.5385,3984.519,3917.27942,3921.5692,3627.7995
"t2511231063_Propionibacterium_acnes",2641.1138,2857.2328,3244.5121,3254.0135,3342.2686,3276.2973,3266.3284,3172.3998,3293.9921,3319.0961,3458.4114,3281.8082,3283.1412,3152.1042,3454.3948,1173.9388,1206.5334,0,3088.649,3247.2307,3237.5577,2910.3711,2795.0211,2965.8671,3895.89803,3884.39932,3927.1411,3945.1216,3877.88202,3882.1718,3588.4021
"t637000209_Porphyromonas_gingivalis",2660.6328,2876.7518,3264.0311,3273.5325,3361.7876,3295.8163,3285.8474,3191.9188,3313.5111,3338.6151,3477.9304,3301.3272,3302.6602,3171.6232,3473.9138,3095.4518,3128.0464,3088.649,0,526.2997,516.6267,2720.2201,2604.8701,2775.7161,3705.74703,3694.24832,3736.9901,3754.9706,3687.73102,3692.0208,3398.2511
"t645058788_Bacteroides_fragilis",2819.2145,3035.3335,3422.6128,3432.1142,3520.3693,3454.398,3444.4291,3350.5005,3472.0928,3497.1968,3636.5121,3459.9089,3461.2419,3330.2049,3632.4955,3254.0335,3286.6281,3247.2307,526.2997,0,90.6364,2878.8018,2763.4518,2934.2978,3864.32873,3852.83002,3895.5718,3913.5523,3846.31272,3850.6025,3556.8328
"t637000026_Bacteroides_thetaiotaomicron",2809.5415,3025.6605,3412.9398,3422.4412,3510.6963,3444.725,3434.7561,3340.8275,3462.4198,3487.5238,3626.8391,3450.2359,3451.5689,3320.5319,3622.8225,3244.3605,3276.9551,3237.5577,516.6267,90.6364,0,2869.1288,2753.7788,2924.6248,3854.65573,3843.15702,3885.8988,3903.8793,3836.63972,3840.9295,3547.1598
"t646862310_Campylobacter_jejuni",2482.3549,2698.4739,3085.7532,3095.2546,3183.5097,3117.5384,3107.5695,3013.6409,3135.2332,3160.3372,3299.6525,3123.0493,3124.3823,2993.3453,3295.6359,2917.1739,2949.7685,2910.3711,2720.2201,2878.8018,2869.1288,0,521.334,2399.134,3329.16493,3317.66622,3360.408,3378.3885,3311.14892,3315.4387,3021.669
"t637000341_Wolinella_succinogenes",2367.0049,2583.1239,2970.4032,2979.9046,3068.1597,3002.1884,2992.2195,2898.2909,3019.8832,3044.9872,3184.3025,3007.6993,3009.0323,2877.9953,3180.2859,2801.8239,2834.4185,2795.0211,2604.8701,2763.4518,2753.7788,521.334,0,2283.784,3213.81493,3202.31622,3245.058,3263.0385,3195.79892,3200.0887,2906.319
"t643348538_Desulfovibrio_desulfuricans",2537.8509,2753.9699,3141.2492,3150.7506,3239.0057,3173.0344,3163.0655,3069.1369,3190.7292,3215.8332,3355.1485,3178.5453,3179.8783,3048.8413,3351.1319,2972.6699,3005.2645,2965.8671,2775.7161,2934.2978,2924.6248,2399.134,2283.784,0,3159.25093,3147.75222,3190.494,3208.4745,3141.23492,3145.5247,2851.755
"t640427143_Shigella_sonnei",3467.88183,3684.00083,4071.28013,4080.78153,4169.03663,4103.06533,4093.09643,3999.16783,4120.76013,4145.86413,4285.17943,4108.57623,4109.90923,3978.87223,4281.16283,3902.70083,3935.29543,3895.89803,3705.74703,3864.32873,3854.65573,3329.16493,3213.81493,3159.25093,0,16.15549,69.94413,87.92463,30.00965,149.21163,1754.86593
"t637000261_Shigella_boydii",3456.38312,3672.50212,4059.78142,4069.28282,4157.53792,4091.56662,4081.59772,3987.66912,4109.26142,4134.36542,4273.68072,4097.07752,4098.41052,3967.37352,4269.66412,3891.20212,3923.79672,3884.39932,3694.24832,3852.83002,3843.15702,3317.66622,3202.31622,3147.75222,16.15549,0,58.44542,76.42592,18.51094,137.71292,1743.36722
"t638341196_Shigella_dysenteriae",3499.1249,3715.2439,4102.5232,4112.0246,4200.2797,4134.3084,4124.3395,4030.4109,4152.0032,4177.1072,4316.4225,4139.8193,4141.1523,4010.1153,4312.4059,3933.9439,3966.5385,3927.1411,3736.9901,3895.5718,3885.8988,3360.408,3245.058,3190.494,69.94413,58.44542,0,51.9799,61.25272,180.4547,1786.109
"t646862326_Escherichia_coli",3517.1054,3733.2244,4120.5037,4130.0051,4218.2602,4152.2889,4142.32,4048.3914,4169.9837,4195.0877,4334.403,4157.7998,4159.1328,4028.0958,4330.3864,3951.9244,3984.519,3945.1216,3754.9706,3913.5523,3903.8793,3378.3885,3263.0385,3208.4745,87.92463,76.42592,51.9799,0,79.23322,198.4352,1804.0895
"t637000265_Shigella_flexneri",3449.86582,3665.98482,4053.26412,4062.76552,4151.02062,4085.04932,4075.08042,3981.15182,4102.74412,4127.84812,4267.16342,4090.56022,4091.89322,3960.85622,4263.14682,3884.68482,3917.27942,3877.88202,3687.73102,3846.31272,3836.63972,3311.14892,3195.79892,3141.23492,30.00965,18.51094,61.25272,79.23322,0,131.19562,1736.84992
"t637000255_Salmonella_enterica",3454.1556,3670.2746,4057.5539,4067.0553,4155.3104,4089.3391,4079.3702,3985.4416,4107.0339,4132.1379,4271.4532,4094.85,4096.183,3965.146,4267.4366,3888.9746,3921.5692,3882.1718,3692.0208,3850.6025,3840.9295,3315.4387,3200.0887,3145.5247,149.21163,137.71292,180.4547,198.4352,131.19562,0,1741.1397
"t647000299_Pseudomonas_aeruginosa",3160.3859,3376.5049,3763.7842,3773.2856,3861.5407,3795.5694,3785.6005,3691.6719,3813.2642,3838.3682,3977.6835,3801.0803,3802.4133,3671.3763,3973.6669,3595.2049,3627.7995,3588.4021,3398.2511,3556.8328,3547.1598,3021.669,2906.319,2851.755,1754.86593,1743.36722,1786.109,1804.0895,1736.84992,1741.1397,0
