POS	exp01	exp10
319	2.461	7.4
320	2.709	9.566
321	11.14	3.538
322	2.556	3.507
323	2.407	21.19
324	2.922	16.01
325	1.824	0.9355
326	2.585	8.397
327	7.088	2.452
328	9.394	23.9
329	12.45	7.88
330	3.578	10.48
331	6.75	15.68
332	5.723	20.61
333	4.809	24.78
334	1.972	2.36
335	9.121	6.498
336	22.03	5.342
337	16.14	38.1
338	1.3	14.92
339	1.616	0.6592
340	9.194	3.455
341	4.779	45.01
342	25.5	36.31
343	3.696	2.803
344	9.028	54.42
345	5.394	22.76
346	8.596	41.97
347	2.275	1.356
348	4.117	10.77
349	2.915	26
350	3.648	11.21
351	21.75	30.47
352	10.89	22.07
353	1.833	0.9104
354	3.907	10.51
355	20.77	27.06
356	30.78	43.44
357	2.22	14.05
358	8.547	8.548
359	4.967	18.05
360	14.73	11.71
361	3.952	7.007
362	6.376	39.58
363	3.599	19.28
364	11.04	54.05
365	2.837	10.97
366	31.4	32.57
367	9.857	16.28
368	12.03	6.981
369	1.975	1.357
370	30.87	43.83
371	5.359	5.256
372	8.523	7.958
373	7.595	47.25
374	14.19	55.33
375	6.659	7.452
376	3.088	1.406
377	9.465	55
378	12.15	49.49
379	21.66	28.82
380	12.52	32.6
381	7.238	6.275
382	1.823	0.9046
383	1.891	1.106
384	3.916	7.002
385	9.705	16.47
386	15.79	10.05
387	10.21	61.62
388	5.45	28.41
389	4.649	21.82
390	10.02	41.79
391	4.314	7.982
392	12.04	45.59
393	2.646	12.39
394	7.996	22.03
395	9.398	21.64
396	4.147	21.68
397	10.68	44.59
398	10.77	13.51
399	6.095	33.15
400	6.088	11.7
401	6.394	23.03
402	4.73	4.509
403	3.8	5.201
404	4.43	4.358
405	8.306	8.313
406	6.672	9.151
407	3.262	3.659
408	5.197	12.72
409	13.52	45.62
410	6.833	28.85
411	6.176	10.3
412	5.259	10.25
413	9.44	6.594
414	1.922	1.099
415	11.17	35.42
416	6.878	9.064
417	4.384	8.741
418	9.151	9.32
419	7.281	33.21
420	7.78	6.365
421	8.062	19
422	7.933	54.88
423	3.597	6.333
424	8.059	21.36
425	6.272	33.5
426	13.48	71.25
427	10.97	22.65
428	1.13	15.07
429	7.89	55.33
430	16.32	13.19
431	7.423	23.29
432	14.5	22.44
433	9.494	17.4
434	21.29	69.4
435	11.83	13.38
436	5.951	13.97
437	2.359	6.665
438	2.891	2.744
439	4.499	23.55
440	2.665	0.9069
441	10.99	56.06
442	5.521	42.7
443	15.34	30.49
444	12.42	12.04
445	5.715	50.64
446	10.49	51.18
447	23.34	35.09
448	19.89	76.46
449	3.519	26.22
450	5.022	11.63
451	11.72	35.68
452	2.375	7.222
453	2.649	7.368
454	14.18	46.63
455	4.032	9.956
456	24.89	36.78
457	11.54	44.47
458	22.14	28.14
459	10.09	6.647
460	24.08	33.88
461	10.8	2.59
462	4.253	16.91
463	5.078	9.898
464	19.04	63.62
465	4.049	10.03
466	18.6	13.17
467	25.91	27.54
468	7.151	11.71
469	9.949	13.76
470	4.935	2.42
471	20.91	29.93
472	9.908	35.56
473	10.11	8.04
474	4.857	9.556
475	10.42	5.067
476	1.263	1.351
477	5.247	10.81
478	1.845	5.762
479	2.01	1.099
480	7.535	1.079
481	17.36	22.54
482	3.243	32.93
483	2.783	6.577
484	3.765	28.27
485	7.214	13.93
486	11.94	42.65
487	33.93	53.9
488	2.705	4.476
489	1.847	14.87
490	5.67	36.43
491	4.559	22.8
492	1.501	23.35
493	2.311	3.991
494	3.11	1.494
495	7.638	1.963
496	2.573	3.509
497	3.583	18.3
498	6.881	24.68
499	2.14	5.004
500	3.332	7.258
501	2.313	13.02
502	5.49	14.8
503	3.518	4.487
504	12.68	18.08
505	4.99	17.52
506	5.779	20.65
507	2.43	3.621
508	4.054	8.273
509	11.32	18.46
510	15.69	31.49
511	6.893	33.51
512	11.89	21.3
513	1.63	3.577
514	8.599	18.17
515	16.54	42.83
516	9.52	19.23
517	0.9263	1.007
518	3.557	9.857
519	26.68	27.45
520	4.172	0.8414
521	13.26	42.13
522	5.061	12.66
523	14.96	55.86
524	24.46	75.23
525	4.35	6.952
526	20.87	28.51
527	2.694	5.446
528	33.82	24.03
529	5.153	3.927
530	12.33	16.91
531	1.448	7.154
532	6.187	12.37
533	7.822	19.4
534	4.131	4.883
535	3.8	5.201
536	4.097	1.766
537	9.458	6.04
538	21.96	33.79
539	19.34	32.22
540	20.74	33.89
541	5.35	35.82
542	5.797	21.44
543	9.659	9.91
544	2.002	1.165
545	24.5	22.46
546	7.334	5.01
547	19.78	63.83
548	17.09	57.85
549	10.11	13.39
550	10.11	13.39
551	19.14	24.07
552	26.22	21.96
553	23.6	49.53
554	27.28	42.91
555	27.27	27.31
556	25.15	69.56
557	15.12	17.61
558	22.61	51.74
559	8.034	52.56
560	7.123	33.93
561	5.403	23.7
562	8.487	30.92
563	2.052	45.54
564	7.05	8.58
565	16.77	9.754
566	6.721	25.64
567	8.658	2.958
568	3.525	37.81
569	25.25	76.66
570	11.27	14.45
571	27.22	71.78
572	11.21	31.43
573	19.46	29.03
574	3.899	5.834
575	3.626	4.119
576	15.42	33.32
577	6.305	4.733
578	26.14	12.89
579	3.587	15.67
580	8.873	7.513
581	5.638	12.36
582	6.133	8.21
583	3.083	6.419
584	5.768	42.84
585	28.33	47.67
586	6.983	14.43
587	2.954	1.237
588	29.7	34.15
589	7.351	5.519
590	10.2	40.68
591	1.96	1.221
592	10.77	33.16
593	25.24	58.65
594	1.887	1.126
595	1.887	1.126
596	1.887	1.126
597	1.887	1.126
598	1.887	1.126
599	15.96	7.742
600	24.5	56.49
601	14.5	35.64
602	8.711	67.7
603	25.33	31.41
604	14.66	60.17
605	9.319	7.247
606	23.39	21.22
607	10.06	55.09
608	28.31	54
609	29.27	32.19
610	25.88	26.84
611	14.12	11.14
612	7.571	6.343
613	27.84	27.29
614	28.13	37.3
615	14.82	10.5
616	2.101	2.218
617	17.67	38.88
618	3.827	31.93
619	21.13	23.69
620	2.984	1.2
621	6.313	3.309
622	6.509	47.04
623	2.021	1.21
624	15.89	26.23
625	8.565	11.19
626	10.75	29.13
627	8.376	16.91
628	8.824	15.52
629	9.735	22.76
630	6.787	4.339
631	12.88	60.26
632	27.46	49.16
633	14.54	14.63
634	31.12	10.68
635	2.765	18.84
636	19.95	29.7
637	8.287	9.7
638	3.288	12.17
639	6.636	23.73
640	20.13	48.28
641	25.58	15.75
642	14.07	41.64
643	24.65	28.62
644	17.09	68.64
645	22.57	65.91
646	18.33	61.14
647	18.33	61.14
648	4.592	9.878
649	6.804	3.682
650	7.156	44.02
651	18.46	67.41
652	3.967	4.065
653	13.6	38.29
654	7.363	19.31
655	32.84	46.36
656	19.37	38.14
657	24.75	29.62
658	1.153	11.2
659	2.416	6.011
660	2.017	1.144
661	9.078	24.61
662	5.275	3.457
663	2.06	1.858
664	29.59	31.62
665	18.23	60.33
666	9.335	31.41
667	4.054	2.658
668	21.77	55
669	3.97	7.789
670	18.72	37.19
671	12.67	44.38
672	9.969	55.31
673	13.24	41.34
674	20.15	63.95
675	29.4	45.89
676	29.63	44.96
677	22.4	47.28
678	9.773	25.36
679	23.4	77.91
680	26.12	62.92
681	15.95	58.41
682	6.657	32.52
683	8.263	19.64
684	30.43	78.1
685	8.296	36.43
686	27.3	64.33
687	30.28	33.78
688	21.02	43.19
689	2.839	5.517
690	20.58	17.52
691	3.414	13.3
692	4.805	20.43
693	16.72	23.01
694	14.79	18.61
695	1.767	0.8824
696	8.229	5.005
697	28.27	29.23
698	13.4	15.59
699	8.208	59.3
700	2.028	1.654
701	11.05	57.62
702	6.497	27.13
703	4.986	2.603
704	11.71	15.05
705	12.23	8.154
706	13.56	29.76
707	11.12	18.49
708	4.511	1.96
709	20.18	40.35
710	3.359	50.49
711	9.539	65.15
712	13.63	67.49
713	9.658	38.44
714	13.55	43.84
715	1.887	1.126
716	4.488	2.127
717	17.81	15.36
718	22.44	27.86
719	17.82	28.11
720	5.602	15.56
721	15.99	24.96
722	24.8	18.4
723	11.54	35.29
724	9.889	10.37
725	3.928	22.26
726	12.46	37.87
727	28.03	41.47
728	23.96	20.26
729	11.9	20.01
730	3.378	2.182
731	10.65	10.5
732	2.857	30.21
733	2.881	18.06
734	2.674	10.43
735	0.8444	18.23
736	16.58	12.24
737	4.031	5.85
738	12.85	7.726
739	15.08	35.63
740	10.34	19.85
741	11.99	4.191
742	3.957	2.89
743	2.763	17.48
744	7.059	22.79
745	5.143	26.58
746	22.69	77.67
747	9.951	45.89
748	6.143	20.3
749	9.764	38.52
750	20.29	27.86
751	5.042	3.063
752	6.788	19.37
753	2.866	0.9937
754	11.84	16.09
755	16.68	39.09
756	8.569	49.33
757	24.29	19.71
758	10.45	7.355
759	30.22	21.66
760	1.766	24.48
761	17.37	53.4
762	5.419	15.31
763	5.765	7.803
764	26.84	60.91
765	10.06	19.14
766	9.381	11.01
767	10.15	29.24
768	6.269	19.43
769	10.69	8.634
770	10.87	16.54
771	1.096	38.75
772	2.074	38.96
773	25.36	32.45
774	4.591	45.79
775	8.754	1.873
776	24.35	33.51
777	24.95	44.32
778	25.49	30.56
779	3.358	19.37
780	5.009	21.57
781	3.279	18.32
782	5.244	24.12
