POS	prob01	prob10
320	2.653	9.019
321	10.93	3.349
322	2.39	3.341
323	2.389	20.92
324	2.897	15.63
325	1.799	0.9177
326	2.54	7.879
327	7.043	2.413
328	9.276	23.21
329	12.08	7.513
330	3.411	10.28
331	6.675	15.04
332	5.617	20.19
333	4.742	24.26
334	1.95	2.335
335	8.862	6.226
336	21.61	5.184
337	15.42	35.45
338	1.241	14.78
339	1.578	0.6475
340	9.157	3.415
341	4.654	43.99
342	23.56	33.14
343	3.64	2.744
344	8.592	52.77
345	5.351	22.21
346	8.219	40.42
347	2.272	1.352
348	4.03	10.2
349	2.86	25.76
350	3.582	10.69
351	20.75	28.77
352	10.66	21.55
353	1.811	0.8924
354	3.721	10.29
355	19.84	25.42
356	28.4	40.4
357	2.199	13.94
358	8.319	8.293
359	4.894	17.94
360	14.48	11.42
361	3.923	6.909
362	6.128	38.27
363	3.565	19.14
364	10.3	51.89
365	2.788	10.91
366	28.9	30.1
367	9.58	15.77
368	11.7	6.647
369	1.953	1.332
370	28.7	40.9
371	5.228	5.132
372	8.285	7.713
373	7.305	46.45
374	13.35	53.17
375	6.467	7.258
376	3.049	1.369
377	8.892	53.18
378	11.2	47.52
379	20.01	26.97
380	12.02	31.16
381	7.129	6.154
382	1.8	0.8868
383	1.87	1.086
384	3.888	6.905
385	9.541	15.83
386	15.26	9.627
387	8.968	59.57
388	5.275	28.07
389	4.563	21.5
390	8.671	39.61
391	4.227	7.368
392	10.56	43.57
393	2.593	11.85
394	7.925	21.24
395	9.313	20.85
396	4.109	21.18
397	10.14	42.66
398	10.57	13.23
399	5.973	32.57
400	5.973	11.2
401	6.316	22.41
402	4.557	4.235
403	3.683	4.759
404	4.32	3.915
405	8.221	7.654
406	6.593	8.501
407	3.25	3.645
408	5.132	12
409	12.92	43.47
410	6.615	27.6
411	6.145	10.26
412	5.171	9.63
413	9.243	6.395
414	1.901	1.078
415	10.62	34.43
416	6.844	8.858
417	4.281	8.297
418	8.936	9.021
419	6.968	31.84
