# log Likelihood of tree (entire data)=	-1.185e+05
POS	logLofPos
1	-152.6
2	-16.07
3	-70.36
4	-75.37
5	-90.72
6	-24.73
7	-81.63
8	-73.24
9	-96.03
10	-108.8
11	-73.46
12	-36.72
13	-71.62
14	-84.99
15	-83.4
16	-97.92
17	-108.4
18	-38.73
19	-67.67
20	-83.18
21	-107.4
22	-77.62
23	-66.52
24	-69.2
25	-14.73
26	-111.7
27	-76.87
28	-33.64
29	-105.3
30	-45.73
31	-23.89
32	-89.09
33	-59.42
34	-87.7
35	-28.59
36	-64.3
37	-27.58
38	-14.8
39	-66.44
40	-62.6
41	-39.69
42	-68.42
43	-43.59
44	-66.37
45	-28.68
46	-72.53
47	-65.61
48	-97.28
49	-41.88
50	-117.5
51	-49.99
52	-28.34
53	-106.1
54	-27.26
55	-108.8
56	-52.24
57	-53.28
58	-43.17
59	-43.26
60	-52.11
61	-15.02
62	-51.1
63	-51.1
64	-48.09
65	-57.37
66	-28.33
67	-99.99
68	-63
69	-36.57
70	-77.64
71	-34.57
72	-94.81
73	-112.4
74	-44.17
75	-37.72
76	-40.57
77	-93.41
78	-62.22
79	-107.5
80	-67.58
81	-122.2
82	-93.59
83	-7.957
84	-49.44
85	-88.56
86	-118.8
87	-18.24
88	-106.8
89	-66.26
90	-12.4
91	-34.71
92	-32.2
93	-111.5
94	-44.75
95	-101
96	-84.95
97	-38.92
98	-78.99
99	-54.29
100	-68.32
101	-55.28
102	-8.412
103	-73.24
104	-8.253
105	-19.07
106	-82.34
107	-32.19
108	-100.8
109	-101.6
110	-63.23
111	-56.47
112	-73.63
113	-73.63
114	-46.47
115	-45.38
116	-37.93
117	-44.88
118	-77.83
119	-77.83
120	-33.92
121	-36.71
122	-15.23
123	-29.34
124	-16.56
125	-31.75
126	-28.21
127	-24.69
128	-28.21
129	-90.5
130	-59.51
131	-48.36
132	-7.469
133	-11.71
134	-59.35
135	-63.51
136	-39.73
137	-15.11
138	-24.91
139	-7.469
140	-75.58
141	-7.895
142	-41.64
143	-42.62
144	-75.02
145	-35.89
146	-54.66
147	-57.43
148	-65.74
149	-57.94
150	-87.47
151	-55.36
152	-54.63
153	-36.24
154	-99.94
155	-95.62
156	-83.29
157	-59.11
158	-48.05
159	-30.96
160	-14.36
161	-112.6
162	-26.45
163	-87.84
164	-137.7
165	-73.56
166	-103.5
167	-85.9
168	-14.22
169	-12.66
170	-22.94
171	-83.97
172	-61.88
173	-45.23
174	-99.08
175	-8.461
176	-70.96
177	-70.08
178	-70.08
179	-56.96
180	-83.65
181	-46.73
182	-84.96
183	-88.33
184	-56.53
185	-8.41
186	-97.92
187	-91.54
188	-13.08
189	-68.93
190	-64.21
191	-50.94
192	-50.94
193	-16.69
194	-16.81
195	-18.63
196	-18.9
197	-44.18
198	-8.527
199	-64.53
200	-79.45
201	-85.19
202	-7.69
203	-57.09
204	-80.67
205	-83.44
206	-69.63
207	-69.63
208	-75.02
209	-78.43
