Node	State	ProbSum	Father	StateFather	ProbSumFather
t637000060_Carboxydothermus_hydrogenoformans	1	450	N4	1	551.8
t637000316_Syntrophomonas_wolfei	1	355	N6	1	496.5
t637000167_Moorella_thermoacetica	1	463	N6	1	496.5
N6	1	496.5	N5	1	548.8
t643348537_Desulfitobacterium_hafniense	1	550	N5	1	548.8
N5	1	548.8	N4	1	551.8
N4	1	551.8	N3	1	679.7
t641736249_Clostridium_perfringens	1	445	N8	1	506.2
t637000080_Clostridium_tetani	1	391	N9	1	506
t639633021_Clostridium_novyi	1	397	N10	1	503.1
t651053017_Clostridium_acetobutylicum	1	528	N10	1	503.1
N10	1	503.1	N9	1	506
N9	1	506	N8	1	506.2
N8	1	506.2	N7	1	659
t647000254_Fusobacterium_nucleatum	1	363	N11	1	659
t639633035_Listeria_welshimeri	1	502	N16	1	512.6
t637000152_Listeria_innocua	1	508	N17	1	508
t2511231184_Listeria_monocytogenes	1	521	N17	1	508
N17	1	508	N16	1	512.6
N16	1	512.6	N15	1	551.1
t637000140_Lactobacillus_johnsonii	1	265	N22	1	272.4
t643886066_Lactobacillus_gasseri	1	266	N22	1	272.4
N22	1	272.4	N21	1	302.1
t637000139_Lactobacillus_delbrueckii	1	259	N23	1	293.4
t637000138_Lactobacillus_acidophilus	1	291	N23	1	293.4
N23	1	293.4	N21	1	302.1
N21	1	302.1	N20	1	427.8
t637000142_Lactobacillus_sakei	1	333	N24	1	427.1
t651053039_Lactobacillus_casei	1	414	N24	1	427.1
N24	1	427.1	N20	1	427.8
N20	1	427.8	N19	1	439.3
t648231712_Lactobacillus_salivarius	1	356	N25	1	429.1
t639633049_Pediococcus_pentosaceus	1	311	N26	1	429.4
t644736381_Lactobacillus_plantarum	1	462	N28	1	429.5
t639633027_Lactobacillus_brevis	1	321	N28	1	429.5
N28	1	429.5	N27	1	429.5
t639633047_Oenococcus_oeni	1	305	N29	1	376.3
t2511231143_Leuconostoc_mesenteroides	1	373	N29	1	376.3
N29	1	376.3	N27	1	429.5
N27	1	429.5	N26	1	429.4
N26	1	429.4	N25	1	429.1
N25	1	429.1	N19	1	439.3
N19	1	439.3	N18	1	481.3
t651053041_Lactococcus_lactis	1	412	N31	1	462.5
t651053075_Streptococcus_thermophilus	1	357	N34	1	417.5
t640069333_Streptococcus_pyogenes	1	340	N35	1	378.2
t638341205_Streptococcus_agalactiae	1	385	N35	1	378.2
N35	1	378.2	N34	1	417.5
N34	1	417.5	N33	1	427.4
t646564575_Streptococcus_mutans	1	411	N33	1	427.4
N33	1	427.4	N32	1	433
t640963052_Streptococcus_pneumoniae	1	401	N36	1	428.3
t640069334_Streptococcus_sanguinis	1	447	N36	1	428.3
N36	1	428.3	N32	1	433
N32	1	433	N31	1	462.5
N31	1	462.5	N30	1	479.4
t647533130_Enterococcus_faecalis	1	462	N30	1	479.4
N30	1	479.4	N18	1	481.3
N18	1	481.3	N15	1	551.1
N15	1	551.1	N14	1	693.2
t637000201_Oceanobacillus_iheyensis	1	594	N38	1	706.5
t637000019_Bacillus_clausii	1	654	N39	1	682.7
t637000020_Bacillus_halodurans	1	640	N39	1	682.7
N39	1	682.7	N38	1	706.5
N38	1	706.5	N37	1	711.5
t637000118_Geobacillus_kaustophilus	1	629	N40	1	710.7
t650377907_Bacillus_subtilis	1	674	N42	1	692.3
t639279304_Bacillus_licheniformis	1	670	N42	1	692.3
N42	1	692.3	N41	1	708.4
t643692005_Bacillus_anthracis	1	639	N44	1	651.2
t641736135_Bacillus_cereus	1	645	N44	1	651.2
N44	1	651.2	N43	1	651.4
t637000023_Bacillus_thuringiensis	1	653	N43	1	651.4
N43	1	651.4	N41	1	708.4
N41	1	708.4	N40	1	710.7
N40	1	710.7	N37	1	711.5
N37	1	711.5	N14	1	693.2
N14	1	693.2	N13	1	693.2
t637000284_Staphylococcus_saprophyticus	1	505	N45	1	526.7
t642555160_Staphylococcus_haemolyticus	1	492	N47	1	511.7
t645058812_Staphylococcus_epidermidis	1	486	N47	1	511.7
N47	1	511.7	N46	1	522
t645058811_Staphylococcus_aureus	1	511	N46	1	522
N46	1	522	N45	1	526.7
N45	1	526.7	N13	1	693.2
N13	1	693.2	N12	1	659.3
t637000158_Mesoplasma_florum	1	125	N49	1	134.6
t637000181_Mycoplasma_mycoides	1	152	N50	1	143.2
t637000174_Mycoplasma_capricolum	1	141	N50	1	143.2
N50	1	143.2	N49	1	134.6
N49	1	134.6	N48	1	134.6
t637000175_Mycoplasma_gallisepticum	1	112	N53	1	115.2
t637000183_Mycoplasma_pneumoniae	1	113	N54	1	110.1
t638341133_Mycoplasma_genitalium	1	102	N54	1	110.1
N54	1	110.1	N53	1	115.2
N53	1	115.2	N52	1	121.7
t645951878_Ureaplasma_urealyticum	1	90	N55	1	123.6
t637000182_Mycoplasma_penetrans	1	167	N55	1	123.6
N55	1	123.6	N52	1	121.7
N52	1	121.7	N51	1	125.3
t637000180_Mycoplasma_mobile	1	124	N56	1	122.7
t637000184_Mycoplasma_pulmonis	1	122	N58	1	119.6
t637000185_Mycoplasma_synoviae	1	107	N58	1	119.6
N58	1	119.6	N57	1	119.6
t637000178_Mycoplasma_hyopneumoniae	1	108	N57	1	119.6
N57	1	119.6	N56	1	122.7
N56	1	122.7	N51	1	125.3
N51	1	125.3	N48	1	134.6
N48	1	134.6	N12	1	659.3
N12	1	659.3	N11	1	659
N11	1	659	N7	1	659
N7	1	659	N3	1	679.7
N3	1	679.7	N2	1	679.7
t637000306_Symbiobacterium_thermophilum	1	501	N2	1	679.7
N2	1	679.7	N1	1	729.8
t637000322_Thermus_thermophilus	1	503	N62	1	616.1
t637000092_Deinococcus_radiodurans	1	519	N63	1	587
t641228488_Deinococcus_geothermalis	1	581	N63	1	587
N63	1	587	N62	1	616.1
N62	1	616.1	N61	1	752.5
t637000121_Gloeobacter_violaceus	1	525	N64	1	552.6
t641228501_Prochlorococcus_marinus	1	439	N66	1	511.1
t637000308_Synechococcus_elongatus	1	509	N66	1	511.1
N66	1	511.1	N65	1	544.8
t637000320_Thermosynechococcus_elongatus	1	476	N67	1	544.8
t637000329_Trichodesmium_erythraeum	1	543	N68	1	561.3
t646564504_Anabaena_variabilis	1	603	N68	1	561.3
N68	1	561.3	N67	1	544.8
N67	1	544.8	N65	1	544.8
N65	1	544.8	N64	1	552.6
N64	1	552.6	N61	1	752.5
N61	1	752.5	N60	1	752.6
t637000115_Frankia_alni	1	628	N70	1	758.1
t639633001_Acidothermus_cellulolyticus	1	478	N71	1	755.8
t640963015_Bifidobacterium_adolescentis	1	314	N77	1	328.7
t649633019_Bifidobacterium_longum	1	325	N77	1	328.7
N77	1	328.7	N76	1	626.7
t637000331_Tropheryma_whipplei	1	223	N79	1	396.9
t637000149_Leifsonia_xyli	1	385	N79	1	396.9
N79	1	396.9	N78	1	625.6
t639633005_Arthrobacter_aurescens	1	641	N78	1	625.6
N78	1	625.6	N76	1	626.7
N76	1	626.7	N75	1	676.6
t651053059_Propionibacterium_acnes	1	503	N75	1	676.6
N75	1	676.6	N74	1	767.2
t637000305_Streptomyces_coelicolor	1	799	N80	1	778.7
t637000304_Streptomyces_avermitilis	1	768	N80	1	778.7
N80	1	778.7	N74	1	767.2
N74	1	767.2	N73	1	766.1
t647000231_Corynebacterium_jeikeium	1	416	N82	1	510.4
t2511231083_Corynebacterium_diphtheriae	1	433	N83	1	501.1
t644736345_Corynebacterium_efficiens	1	504	N84	1	501.6
t640427110_Corynebacterium_glutamicum	1	504	N84	1	501.6
N84	1	501.6	N83	1	501.1
N83	1	501.1	N82	1	510.4
N82	1	510.4	N81	1	742.5
t637000198_Nocardia_farcinica	1	675	N85	1	742.2
t2506783060_Mycobacterium_smegmatis	1	789	N87	1	740.4
t639633044_Mycobacterium_vanbaalenii	1	723	N87	1	740.4
N87	1	740.4	N86	1	737.7
t645058725_Mycobacterium_avium	1	612	N88	1	637.5
t637000170_Mycobacterium_leprae	1	385	N89	1	616.6
t643692028_Mycobacterium_bovis	1	590	N91	1	595.7
t2512564073_Mycobacterium_tuberculosis	1	592	N91	1	595.7
N91	1	595.7	N90	1	616.6
t642555140_Mycobacterium_ulcerans	1	599	N90	1	616.6
N90	1	616.6	N89	1	616.6
N89	1	616.6	N88	1	637.5
N88	1	637.5	N86	1	737.7
N86	1	737.7	N85	1	742.2
N85	1	742.2	N81	1	742.5
N81	1	742.5	N73	1	766.1
N73	1	766.1	N72	1	762.5
t637000319_Thermobifida_fusca	1	531	N72	1	762.5
N72	1	762.5	N71	1	755.8
N71	1	755.8	N70	1	758.1
N70	1	758.1	N69	1	751.8
t637000248_Rubrobacter_xylanophilus	1	605	N69	1	751.8
N69	1	751.8	N60	1	752.6
N60	1	752.6	N59	1	755.4
t637000236_Rhodopirellula_baltica	1	547	N94	1	667.2
t645951815_Chlamydia_muridarum	1	193	N96	1	191.3
t637000063_Chlamydia_trachomatis	1	190	N96	1	191.3
N96	1	191.3	N95	1	198.3
t637000065_Chlamydophila_abortus	1	194	N97	1	198.3
t637000066_Chlamydophila_caviae	1	201	N98	1	205
t637000067_Chlamydophila_felis	1	205	N98	1	205
N98	1	205	N97	1	198.3
N97	1	198.3	N95	1	198.3
N95	1	198.3	N94	1	667.2
N94	1	667.2	N93	1	730.7
t2511231194_Borrelia_garinii	1	138	N103	1	140
t641736176_Borrelia_afzelii	1	140	N103	1	140
N103	1	140	N102	1	135.9
t650377913_Borrelia_burgdorferi	1	131	N102	1	135.9
N102	1	135.9	N101	1	159.9
t637000327_Treponema_denticola	1	292	N104	1	159.7
t2511231215_Treponema_pallidum	1	134	N104	1	159.7
N104	1	159.7	N101	1	159.9
N101	1	159.9	N100	1	620.8
t637000150_Leptospira_interrogans	1	450	N105	1	446.2
t639633033_Leptospira_borgpetersenii	1	414	N105	1	446.2
N105	1	446.2	N100	1	620.8
N100	1	620.8	N99	1	671.5
t637000087_Cytophaga_hutchinsonii	1	480	N107	1	577.1
t650716072_Porphyromonas_gingivalis	1	348	N109	1	513.4
t637000024_Bacteroides_fragilis	1	517	N110	1	516.1
t637000026_Bacteroides_thetaiotaomicron	1	514	N110	1	516.1
N110	1	516.1	N109	1	513.4
N109	1	513.4	N108	1	565.2
t639633025_Gramella_forsetii	1	487	N108	1	565.2
N108	1	565.2	N107	1	577.1
N107	1	577.1	N106	1	624.9
t637000250_Salinibacter_ruber	1	459	N106	1	624.9
N106	1	624.9	N99	1	671.5
N99	1	671.5	N93	1	730.7
N93	1	730.7	N92	1	771
t639633016_Campylobacter_fetus	1	400	N114	1	404.8
t640963041_Campylobacter_jejuni	1	405	N114	1	404.8
N114	1	404.8	N113	1	411.8
t637000341_Wolinella_succinogenes	1	430	N115	1	409.2
t650377950_Helicobacter_pylori	1	337	N117	1	335.5
t637000130_Helicobacter_acinonychis	1	326	N117	1	335.5
N117	1	335.5	N116	1	387
t637000131_Helicobacter_hepaticus	1	377	N116	1	387
N116	1	387	N115	1	409.2
N115	1	409.2	N113	1	411.8
N113	1	411.8	N112	1	522.4
t637000010_Aquifex_aeolicus	1	423	N112	1	522.4
N112	1	522.4	N111	1	776.3
t637000204_Pelobacter_carbinolicus	1	536	N120	1	580.2
t639633050_Pelobacter_propionicus	1	513	N121	1	558.8
t648231707_Geobacter_sulfurreducens	1	511	N122	1	530.7
t637000119_Geobacter_metallireducens	1	566	N122	1	530.7
N122	1	530.7	N121	1	558.8
N121	1	558.8	N120	1	580.2
N120	1	580.2	N119	1	599.3
t637000096_Desulfovibrio_vulgaris	1	475	N125	1	487.3
t637000145_Lawsonia_intracellularis	1	287	N126	1	487.3
t643348538_Desulfovibrio_desulfuricans	1	494	N126	1	487.3
N126	1	487.3	N125	1	487.3
N125	1	487.3	N124	1	568
t637000094_Desulfotalea_psychrophila	1	486	N124	1	568
N124	1	568	N123	1	582.2
t639633063_Syntrophobacter_fumaroxidans	1	527	N127	1	555.9
t637000317_Syntrophus_aciditrophicus	1	457	N127	1	555.9
N127	1	555.9	N123	1	582.2
N123	1	582.2	N119	1	599.3
N119	1	599.3	N118	1	776.3
t637000030_Bdellovibrio_bacteriovorus	1	423	N129	1	754.1
t637000186_Myxococcus_xanthus	1	636	N130	1	714.4
t637000007_Anaeromyxobacter_dehalogenans	1	584	N130	1	714.4
N130	1	714.4	N129	1	754.1
N129	1	754.1	N128	1	799.2
t637000325_Thiomicrospira_crunogena	1	480	N133	1	883.6
t639633057_Shewanella_amazonensis	1	639	N139	1	657.5
t640069331_Shewanella_loihica	1	643	N140	1	653.2
t637000257_Shewanella_frigidimarina	1	631	N142	1	637.7
t637000256_Shewanella_denitrificans	1	599	N142	1	637.7
N142	1	637.7	N141	1	643
t637000258_Shewanella_oneidensis	1	634	N143	1	626
t641228507_Shewanella_baltica	1	628	N143	1	626
N143	1	626	N141	1	643
N141	1	643	N140	1	653.2
N140	1	653.2	N139	1	657.5
N139	1	657.5	N138	1	739.3
t639633052_Psychromonas_ingrahamii	1	669	N144	1	769.4
t638341150_Photobacterium_profundum	1	740	N147	1	759.4
t637000335_Vibrio_parahaemolyticus	1	714	N149	1	725.8
t649633107_Vibrio_vulnificus	1	690	N149	1	725.8
N149	1	725.8	N148	1	733.9
t643692054_Vibrio_cholerae	1	652	N148	1	733.9
N148	1	733.9	N147	1	759.4
N147	1	759.4	N146	1	802.5
t2512564074_Pasteurella_multocida	1	534	N152	1	542.7
t650377945_Haemophilus_influenzae	1	439	N152	1	542.7
N152	1	542.7	N151	1	551.7
t637000124_Haemophilus_ducreyi	1	367	N153	1	524.7
t641522604_Actinobacillus_pleuropneumoniae	1	522	N153	1	524.7
N153	1	524.7	N151	1	551.7
N151	1	551.7	N150	1	800.4
t637000207_Photorhabdus_luminescens	1	753	N154	1	850.1
t640069335_Yersinia_enterocolitica	1	809	N156	1	843
t646862351_Yersinia_pestis	1	755	N157	1	781.9
