Node	State	ProbSum	Father	StateFather	ProbSumFather
t637000355_Yersinia_pseudotuberculosis	1	781	N157	1	781.9
N157	1	781.9	N156	1	843
N156	1	843	N155	1	863.5
t640427143_Shigella_sonnei	1	865	N162	1	895.1
t640427142_Shigella_dysenteriae	1	731	N163	1	854.3
t641522650_Shigella_boydii	1	820	N163	1	854.3
N163	1	854.3	N162	1	895.1
N162	1	895.1	N161	1	913.7
t638341089_Escherichia_coli	1	934	N161	1	913.7
N161	1	913.7	N160	1	906.4
t637000265_Shigella_flexneri	1	825	N160	1	906.4
N160	1	906.4	N159	1	906.8
t642555155_Salmonella_enterica	1	870	N159	1	906.8
N159	1	906.8	N158	1	866.8
t650377917_Buchnera_aphidicola	1	236	N165	1	428.5
t637000338_Wigglesworthia_glossinidia	1	250	N165	1	428.5
N165	1	428.5	N164	1	536.9
t637000270_Sodalis_glossinidius	1	536	N164	1	536.9
N164	1	536.9	N158	1	866.8
N158	1	866.8	N155	1	863.5
N155	1	863.5	N154	1	850.1
N154	1	850.1	N150	1	800.4
N150	1	800.4	N146	1	802.5
N146	1	802.5	N145	1	801
t639633004_Aeromonas_hydrophila	1	758	N145	1	801
N145	1	801	N144	1	769.4
N144	1	769.4	N138	1	739.3
N138	1	739.3	N137	1	740.6
t637000136_Idiomarina_loihiensis	1	485	N166	1	696.8
t637000216_Pseudoalteromonas_atlantica	1	669	N167	1	695.6
t637000217_Pseudoalteromonas_haloplanktis	1	595	N167	1	695.6
N167	1	695.6	N166	1	696.8
N166	1	696.8	N137	1	740.6
N137	1	740.6	N136	1	859.8
t650377902_Acinetobacter_baumannii	1	632	N170	1	682
t637000227_Psychrobacter_cryohalolentis	1	557	N170	1	682
N170	1	682	N169	1	775.3
t637000004_Alcanivorax_borkumensis	1	547	N169	1	775.3
N169	1	775.3	N168	1	857
t637000128_Hahella_chejuensis	1	725	N172	1	858.7
t637000075_Chromohalobacter_salexigens	1	679	N173	1	860.4
t637000219_Pseudomonas_entomophila	1	780	N176	1	804.4
t650716076_Pseudomonas_putida	1	781	N176	1	804.4
N176	1	804.4	N175	1	864.5
t2505313072_Pseudomonas_syringae	1	772	N177	1	863.5
t2511231156_Pseudomonas_fluorescens	1	844	N177	1	863.5
N177	1	863.5	N175	1	864.5
N175	1	864.5	N174	1	874.3
t2511231165_Pseudomonas_aeruginosa	1	848	N174	1	874.3
N174	1	874.3	N173	1	860.4
N173	1	860.4	N172	1	858.7
N172	1	858.7	N171	1	856.9
t637000249_Saccharophagus_degradans	1	558	N171	1	856.9
N171	1	856.9	N168	1	857
N168	1	857	N136	1	859.8
N136	1	859.8	N135	1	867
t646564542_Legionella_pneumophila	1	484	N179	1	508.9
t643348531_Coxiella_burnetii	1	382	N179	1	508.9
N179	1	508.9	N178	1	547.5
t637000114_Francisella_tularensis	1	375	N178	1	547.5
N178	1	547.5	N135	1	867
N135	1	867	N134	1	881.6
t647533188_Nitrosococcus_oceani	1	553	N181	1	679.1
t639633026_Halorhodospira_halophila	1	552	N181	1	679.1
N181	1	679.1	N180	1	829
t637000166_Methylococcus_capsulatus	1	569	N182	1	828.7
t637000342_Xanthomonas_axonopodis	1	688	N185	1	692.5
t637000345_Xanthomonas_campestris	1	695	N185	1	692.5
N185	1	692.5	N184	1	687.5
t642555170_Xanthomonas_oryzae	1	615	N184	1	687.5
N184	1	687.5	N183	1	683.3
t637000349_Xylella_fastidiosa	1	442	N183	1	683.3
N183	1	683.3	N182	1	828.7
N182	1	828.7	N180	1	829
N180	1	829	N134	1	881.6
N134	1	881.6	N133	1	883.6
N133	1	883.6	N132	1	889.8
t637000074_Chromobacterium_violaceum	1	692	N187	1	779.1
t642555143_Neisseria_gonorrhoeae	1	419	N188	1	439.8
t637000189_Neisseria_meningitidis	1	437	N188	1	439.8
N188	1	439.8	N187	1	779.1
N187	1	779.1	N186	1	882.3
t637000088_Dechloromonas_aromatica	1	660	N190	1	887.2
t640069319_Methylibium_petroleiphilum	1	681	N193	1	859
t637000235_Rhodoferax_ferrireducens	1	724	N195	1	808.5
t639633051_Polaromonas_naphthalenivorans	1	730	N195	1	808.5
N195	1	808.5	N194	1	840.9
t639633065_Verminephrobacter_eiseniae	1	759	N196	1	817
t639633002_Acidovorax_avenae	1	673	N196	1	817
N196	1	817	N194	1	840.9
N194	1	840.9	N193	1	859
N193	1	859	N192	1	896.1
t651053062_Ralstonia_solanacearum	1	753	N197	1	896.8
t637000053_Burkholderia_xenovorans	1	972	N198	1	928.8
t637000046_Burkholderia_cenocepacia	1	872	N200	1	881.8
t637000047_Burkholderia_cepacia	1	876	N200	1	881.8
N200	1	881.8	N199	1	901.1
t641736124_Burkholderia_thailandensis	1	828	N201	1	850.8
t638341031_Burkholderia_mallei	1	792	N202	1	853
t640069306_Burkholderia_pseudomallei	1	853	N202	1	853
N202	1	853	N201	1	850.8
N201	1	850.8	N199	1	901.1
N199	1	901.1	N198	1	928.8
N198	1	928.8	N197	1	896.8
N197	1	896.8	N192	1	896.1
N192	1	896.1	N191	1	892.8
t637000032_Bordetella_bronchiseptica	1	688	N204	1	671.7
t637000033_Bordetella_parapertussis	1	651	N204	1	671.7
N204	1	671.7	N203	1	668.9
t651053009_Bordetella_pertussis	1	596	N203	1	668.9
N203	1	668.9	N191	1	892.8
N191	1	892.8	N190	1	887.2
N190	1	887.2	N189	1	881.3
t637000324_Thiobacillus_denitrificans	1	534	N206	1	599.8
t637000165_Methylobacillus_flagellatus	1	509	N206	1	599.8
N206	1	599.8	N205	1	626.1
t637000197_Nitrosospira_multiformis	1	494	N207	1	506.8
t637000195_Nitrosomonas_europaea	1	474	N208	1	481.1
t637000196_Nitrosomonas_eutropha	1	486	N208	1	481.1
N208	1	481.1	N207	1	506.8
N207	1	506.8	N205	1	626.1
N205	1	626.1	N189	1	881.3
N189	1	881.3	N186	1	882.3
N186	1	882.3	N132	1	889.8
N132	1	889.8	N131	1	880.2
t640753044_Rickettsia_bellii	1	211	N211	1	210
t637000245_Rickettsia_prowazekii	1	196	N213	1	199
t2512564075_Rickettsia_typhi	1	195	N213	1	199
N213	1	199	N212	1	210
t637000244_Rickettsia_felis	1	216	N214	1	210.7
t637000243_Rickettsia_conorii	1	205	N214	1	210.7
N214	1	210.7	N212	1	210
N212	1	210	N211	1	210
N211	1	210	N210	1	299.9
t637000191_Neorickettsia_sennetsu	1	212	N215	1	228.7
t637000009_Anaplasma_phagocytophilum	1	219	N217	1	228.4
t645058829_Anaplasma_marginale	1	244	N217	1	228.4
N217	1	228.4	N216	1	228.7
t637000097_Ehrlichia_canis	1	232	N219	1	232
t638341079_Ehrlichia_chaffeensis	1	231	N219	1	232
N219	1	232	N218	1	231
t639279308_Ehrlichia_ruminantium	1	230	N218	1	231
N218	1	231	N216	1	228.7
N216	1	228.7	N215	1	228.7
N215	1	228.7	N210	1	299.9
N210	1	299.9	N209	1	876.3
t637000103_Erythrobacter_litoralis	1	500	N223	1	599.1
t640427126_Novosphingobium_aromaticivorans	1	649	N223	1	599.1
N223	1	599.1	N222	1	601.5
t637000271_Sphingopyxis_alaskensis	1	534	N222	1	601.5
N222	1	601.5	N221	1	621.5
t637000356_Zymomonas_mobilis	1	407	N221	1	621.5
N221	1	621.5	N220	1	879.7
t637000155_Magnetospirillum_magneticum	1	624	N226	1	743.2
t637000241_Rhodospirillum_rubrum	1	635	N226	1	743.2
N226	1	743.2	N225	1	848.6
t637000122_Gluconobacter_oxydans	1	466	N225	1	848.6
N225	1	848.6	N224	1	880.1
t637000135_Hyphomonas_neptunium	1	561	N229	1	626.7
t637000157_Maricaulis_maris	1	508	N229	1	626.7
N229	1	626.7	N228	1	904.4
t640427138_Rhodobacter_sphaeroides	1	731	N231	1	867.8
t2511231195_Paracoccus_denitrificans	1	787	N231	1	867.8
N231	1	867.8	N230	1	869.1
t639633056_Roseobacter_denitrificans	1	760	N230	1	869.1
N230	1	869.1	N228	1	904.4
N228	1	904.4	N227	1	904.4
t2512875024_Mesorhizobium_loti	1	811	N234	1	851.4
t637000027_Bartonella_henselae	1	306	N237	1	295.6
t637000028_Bartonella_quintana	1	291	N237	1	295.6
N237	1	295.6	N236	1	296.1
t639633009_Bartonella_bacilliformis	1	285	N236	1	296.1
N236	1	296.1	N235	1	633.1
t637000040_Brucella_melitensis	1	634	N239	1	626.8
t645058845_Brucella_suis	1	613	N239	1	626.8
N239	1	626.8	N238	1	626.8
t645058842_Brucella_abortus	1	597	N238	1	626.8
N238	1	626.8	N235	1	633.1
N235	1	633.1	N234	1	851.4
N234	1	851.4	N233	1	851.5
t650716086_Sinorhizobium_meliloti	1	798	N240	1	835.7
t639279302_Agrobacterium_tumefaciens	1	746	N241	1	822.5
t642979300_Rhizobium_etli	1	779	N242	1	812.1
t644736401_Rhizobium_leguminosarum	1	815	N242	1	812.1
N242	1	812.1	N241	1	822.5
N241	1	822.5	N240	1	835.7
N240	1	835.7	N233	1	851.5
N233	1	851.5	N232	1	895.3
t637000192_Nitrobacter_hamburgensis	1	559	N244	1	563.8
t637000193_Nitrobacter_winogradskyi	1	515	N244	1	563.8
N244	1	563.8	N243	1	833.2
t649633091_Rhodopseudomonas_palustris	1	734	N245	1	832.1
t637000038_Bradyrhizobium_japonicum	1	846	N245	1	832.1
N245	1	832.1	N243	1	833.2
N243	1	833.2	N232	1	895.3
N232	1	895.3	N227	1	904.4
N227	1	904.4	N224	1	880.1
N224	1	880.1	N220	1	879.7
N220	1	879.7	N209	1	876.3
N209	1	876.3	N131	1	880.2
N131	1	880.2	N128	1	799.2
N128	1	799.2	N118	1	776.3
N118	1	776.3	N111	1	776.3
N111	1	776.3	N92	1	771
N92	1	771	N59	1	755.4
N59	1	755.4	N1	1	729.8
N1	1	729.8	NoFather2Root	NA	NA
