# Various MP prints: 
#  0->0 =0
#  0->1 =2.001
#  1->0 =1
#  1->1 =0
189 3 
67 231 
482 2 
2 4 
128 0 
23 339 
425 13 
10 42 
362 8 
30 90 
472 4 
0 14 
409 15 
12 54 
366 4 
22 98 
363 13 
21 93 
109 3 
35 343 
74 0 
27 389 
66 0 
10 414 
389 7 
17 77 
303 7 
19 161 
347 7 
22 114 
258 2 
41 189 
155 1 
48 286 
478 8 
0 4 
332 4 
19 135 
104 0 
27 359 
190 0 
51 249 
231 5 
15 239 
398 6 
20 66 
72 0 
22 396 
479 1 
2 8 
111 5 
33 341 
401 9 
20 60 
458 6 
3 23 
90 4 
29 367 
467 9 
1 13 
475 5 
0 10 
364 12 
23 91 
451 11 
5 23 
327 9 
27 127 
456 2 
6 26 
437 9 
8 36 
472 4 
1 13 
484 2 
0 4 
91 1 
23 375 
84 2 
18 386 
419 5 
4 62 
433 11 
11 35 
4 0 
9 477 
74 0 
22 394 
26 0 
5 459 
354 8 
16 112 
425 13 
9 43 
341 11 
29 109 
472 8 
0 10 
106 2 
40 342 
441 7 
10 32 
480 4 
2 4 
216 4 
40 230 
26 0 
3 461 
133 1 
52 304 
434 4 
13 39 
461 9 
4 16 
474 8 
1 7 
20 0 
9 461 
414 8 
3 65 
478 2 
0 10 
456 10 
2 22 
195 1 
14 280 
455 7 
6 22 
82 0 
15 393 
476 4 
2 8 
325 13 
17 135 
390 8 
9 83 
480 6 
1 3 
229 3 
27 231 
458 4 
6 22 
333 11 
20 126 
96 0 
39 355 
430 4 
9 47 
440 4 
6 40 
457 5 
7 21 
370 18 
11 91 
415 9 
14 52 
203 5 
38 244 
443 13 
6 28 
221 7 
46 216 
272 4 
33 181 
489 1 
0 0 
427 7 
9 47 
265 1 
37 187 
175 3 
49 263 
487 3 
0 0 
292 10 
32 156 
409 9 
12 60 
488 2 
0 0 
30 0 
7 453 
8 0 
4 478 
102 0 
40 348 
457 7 
3 23 
255 5 
38 192 
224 2 
32 232 
469 7 
0 14 
68 0 
27 395 
449 9 
5 27 
70 0 
24 396 
435 9 
6 40 
479 1 
0 10 
408 10 
15 57 
489 1 
0 0 
449 1 
6 34 
385 13 
13 79 
427 1 
6 56 
137 1 
38 314 
137 1 
39 313 
257 5 
14 214 
143 1 
15 331 
326 4 
25 135 
326 4 
25 135 
431 1 
13 45 
431 1 
14 44 
438 0 
14 38 
438 2 
11 39 
308 2 
32 148 
308 2 
32 148 
429 1 
10 50 
428 2 
8 52 
482 2 
1 5 
456 2 
9 23 
480 2 
1 7 
450 2 
9 29 
479 5 
2 4 
480 4 
2 4 
479 5 
2 4 
140 2 
21 327 
391 7 
12 80 
443 7 
10 30 
489 1 
0 0 
481 1 
2 6 
38 0 
16 436 
424 10 
9 47 
467 5 
6 12 
478 2 
0 10 
436 2 
2 50 
489 1 
0 0 
397 13 
12 68 
489 1 
0 0 
230 0 
14 246 
427 7 
3 53 
317 3 
23 147 
454 4 
7 25 
96 0 
17 377 
94 0 
17 379 
100 0 
20 370 
208 2 
16 264 
303 5 
33 149 
400 8 
7 75 
409 9 
5 67 
440 6 
1 43 
382 14 
16 78 
263 1 
39 187 
260 2 
36 192 
318 4 
18 150 
160 0 
15 315 
484 6 
0 0 
477 1 
2 10 
169 3 
45 273 
447 1 
6 36 
363 9 
24 94 
179 1 
61 249 
339 3 
29 119 
147 3 
33 307 
119 1 
28 342 
481 1 
2 6 
486 2 
0 2 
477 3 
1 9 
391 15 
14 70 
186 0 
20 284 
473 9 
1 7 
136 0 
33 321 
489 1 
0 0 
220 0 
26 244 
334 2 
28 126 
334 2 
28 126 
443 9 
6 32 
252 2 
31 205 
46 0 
14 430 
71 1 
21 397 
393 13 
16 68 
370 2 
20 98 
489 1 
0 0 
90 0 
39 361 
342 10 
21 117 
488 2 
0 0 
407 11 
10 62 
398 8 
15 69 
421 7 
8 54 
421 7 
8 54 
488 2 
0 0 
471 1 
4 14 
487 3 
0 0 
487 3 
0 0 
402 4 
10 74 
489 1 
0 0 
381 7 
11 91 
193 1 
28 268 
181 1 
30 278 
489 1 
0 0 
338 0 
15 137 
166 2 
24 298 
166 2 
25 297 
231 1 
20 238 
231 1 
20 238 
180 2 
21 287 
180 2 
22 286 
178 2 
24 286 
166 2 
24 298 
166 2 
26 296 
166 2 
25 297 
166 2 
24 298 
168 2 
24 296 
164 2 
24 300 
166 2 
24 298 
461 5 
3 21 
388 12 
21 69 
487 3 
0 0 
210 0 
55 225 
250 6 
38 196 
366 8 
13 103 
449 1 
12 28 
438 2 
12 38 
477 3 
1 9 
371 9 
26 84 
356 14 
18 102 
356 14 
18 102 
328 8 
32 122 
337 13 
23 117 
386 8 
28 68 
256 4 
32 198 
259 3 
16 212 
22 0 
10 458 
221 5 
18 246 
2 0 
4 484 
480 4 
0 6 
488 2 
0 0 
140 0 
35 315 
413 1 
13 63 
476 4 
2 8 
476 4 
2 8 
489 1 
0 0 
79 1 
40 370 
79 1 
40 370 
124 0 
56 310 
457 1 
1 31 
464 12 
4 10 
484 6 
0 0 
483 1 
2 4 
450 8 
9 23 
398 8 
12 72 
