# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2.001
#  1->0 =1
#  1->1 =0
POS	MP01	MP10
1	3	67
2	2	2
3	0	23
4	13	10
5	8	30
6	4	0
7	15	12
8	4	22
9	13	21
10	3	35
11	0	27
12	0	10
13	7	17
14	7	19
15	7	22
16	2	41
17	1	48
18	8	0
19	4	19
20	0	27
21	0	51
22	5	15
23	6	20
24	0	22
25	1	2
26	5	33
27	9	20
28	6	3
29	4	29
30	9	1
31	5	0
32	12	23
33	11	5
34	9	27
35	2	6
36	9	8
37	4	1
38	2	0
39	1	23
40	2	18
41	5	4
42	11	11
43	0	9
44	0	22
45	0	5
46	8	16
47	13	9
48	11	29
49	8	0
50	2	40
51	7	10
52	4	2
53	4	40
54	0	3
55	1	52
56	4	13
57	9	4
58	8	1
59	0	9
60	8	3
61	2	0
62	10	2
63	1	14
64	7	6
65	0	15
66	4	2
67	13	17
68	8	9
69	6	1
70	3	27
71	4	6
72	11	20
73	0	39
74	4	9
75	4	6
76	5	7
77	18	11
78	9	14
79	5	38
80	13	6
81	7	46
82	4	33
83	1	0
84	7	9
85	1	37
86	3	49
87	3	0
88	10	32
89	9	12
90	2	0
91	0	7
92	0	4
93	0	40
94	7	3
95	5	38
96	2	32
97	7	0
98	0	27
99	9	5
100	0	24
101	9	6
102	1	0
103	10	15
104	1	0
105	1	6
106	13	13
107	1	6
108	1	38
109	1	39
110	5	14
111	1	15
112	4	25
113	4	25
114	1	13
115	1	14
116	0	14
117	2	11
118	2	32
119	2	32
120	1	10
121	2	8
122	2	1
123	2	9
124	2	1
125	2	9
126	5	2
127	4	2
128	5	2
129	2	21
130	7	12
131	7	10
132	1	0
133	1	2
134	0	16
135	10	9
136	5	6
137	2	0
138	2	2
139	1	0
140	13	12
141	1	0
142	0	14
143	7	3
144	3	23
145	4	7
146	0	17
147	0	17
148	0	20
149	2	16
150	5	33
151	8	7
152	9	5
153	6	1
154	14	16
155	1	39
156	2	36
157	4	18
158	0	15
159	6	0
160	1	2
161	3	45
162	1	6
163	9	24
164	1	61
165	3	29
166	3	33
167	1	28
168	1	2
169	2	0
170	3	1
171	15	14
172	0	20
173	9	1
174	0	33
175	1	0
176	0	26
177	2	28
178	2	28
179	9	6
180	2	31
181	0	14
182	1	21
183	13	16
184	2	20
185	1	0
186	0	39
187	10	21
188	2	0
189	11	10
190	8	15
191	7	8
192	7	8
193	2	0
194	1	4
195	3	0
196	3	0
197	4	10
198	1	0
199	7	11
200	1	28
201	1	30
202	1	0
203	0	15
204	2	24
205	2	25
206	1	20
207	1	20
208	2	21
209	2	22
210	2	24
211	2	24
212	2	26
213	2	25
214	2	24
215	2	24
216	2	24
217	2	24
218	5	3
219	12	21
220	3	0
221	0	55
222	6	38
223	8	13
224	1	12
225	2	12
226	3	1
227	9	26
228	14	18
229	14	18
230	8	32
231	13	23
232	8	28
233	4	32
234	3	16
235	0	10
236	5	18
237	0	4
238	4	0
239	2	0
240	0	35
241	1	13
242	4	2
243	4	2
244	1	0
245	1	40
246	1	40
247	0	56
248	1	1
249	12	4
250	6	0
251	1	2
252	8	9
253	8	12
254	12	13
255	9	6
256	4	27
257	3	1
258	14	16
259	7	8
260	2	0
261	2	38
262	2	38
263	1	0
264	2	0
265	2	0
266	4	1
267	6	0
268	0	10
269	5	2
270	6	3
271	7	6
272	13	9
273	8	17
274	10	9
275	4	1
276	3	1
277	7	4
278	1	0
279	7	9
280	6	0
281	4	27
282	10	5
283	4	26
284	8	3
285	1	0
286	5	9
287	1	0
288	0	6
289	1	24
290	2	2
291	2	31
292	9	13
293	2	0
294	1	1
295	4	3
296	5	6
297	2	0
298	2	0
299	1	2
300	12	18
301	0	32
302	2	46
303	0	1
304	2	78
305	2	19
306	5	8
307	12	13
308	3	27
309	0	4
310	9	4
311	4	15
312	3	5
313	2	0
314	1	0
315	1	1
316	9	2
317	3	0
318	4	35
319	0	5
320	0	9
321	5	5
322	0	1
323	0	21
324	1	16
325	1	0
326	1	7
327	5	2
328	0	29
329	7	2
330	0	8
331	1	17
332	3	16
333	0	29
334	1	1
335	5	0
336	2	29
337	1	40
338	0	14
339	1	0
340	8	2
341	0	44
342	9	18
343	2	1
344	4	42
345	0	26
346	1	41
347	2	1
348	0	11
349	2	19
350	0	11
351	12	21
352	0	30
353	1	0
354	0	9
355	8	24
356	13	20
357	1	13
358	5	2
359	2	16
360	2	21
361	1	9
362	2	35
363	1	19
364	0	51
365	2	4
366	11	20
367	6	7
368	7	3
369	1	0
370	19	9
371	3	2
372	5	2
373	6	33
374	0	54
375	4	0
376	2	0
377	0	53
378	1	42
379	9	9
380	2	32
381	5	1
382	1	0
383	1	0
384	1	9
385	2	21
386	8	11
387	4	41
388	0	27
389	0	23
390	0	34
391	1	7
392	0	37
393	0	12
394	0	28
395	0	29
396	2	21
397	3	39
398	7	8
399	4	25
400	0	12
401	0	26
402	0	4
403	0	5
404	0	5
405	0	15
406	0	14
407	1	6
408	1	14
409	2	41
410	1	28
411	2	15
412	0	12
413	6	2
414	1	0
415	9	8
416	4	10
417	1	7
418	6	2
419	2	27
420	4	5
421	0	25
422	11	15
423	1	5
424	0	28
425	10	6
426	14	21
427	3	26
428	0	14
429	2	36
430	3	21
431	3	22
432	0	33
433	5	10
434	6	40
435	8	0
436	4	4
437	2	4
438	2	0
439	1	24
440	1	2
441	2	51
442	7	16
443	4	26
444	3	16
445	2	42
446	2	46
447	13	8
448	6	55
449	2	22
450	4	6
451	2	29
452	0	5
453	0	5
454	2	47
455	2	6
456	12	10
457	0	39
458	3	38
459	7	8
460	12	29
461	7	3
462	3	15
463	0	9
464	6	52
465	4	0
466	1	28
467	10	30
468	3	7
469	5	6
470	2	2
471	11	21
472	9	7
473	6	5
474	3	4
475	5	10
476	1	1
477	0	13
478	1	5
479	1	0
480	4	4
481	8	8
482	3	22
483	1	8
484	5	8
485	0	16
486	0	37
487	13	32
488	0	2
489	0	14
490	5	17
491	0	26
492	0	23
493	1	2
494	2	0
495	5	2
496	0	1
497	0	18
498	0	28
499	0	3
500	0	5
501	0	11
502	1	17
503	0	3
504	6	15
505	1	19
506	1	20
507	1	2
508	0	7
509	9	8
510	9	21
511	2	30
512	6	16
513	0	2
514	1	19
515	2	45
516	8	9
517	0	0
518	0	8
519	4	37
520	3	0
521	1	40
522	3	11
523	0	58
524	11	43
525	2	8
526	9	11
527	0	3
528	18	3
529	3	1
530	2	24
531	1	7
532	2	11
533	0	20
534	3	4
535	0	5
536	3	0
537	3	11
538	5	37
539	11	19
540	6	29
541	1	31
542	1	23
543	6	0
544	1	0
545	12	2
546	4	0
547	14	23
548	12	21
549	8	1
550	8	1
551	10	6
552	12	3
553	15	10
554	13	13
555	13	23
556	12	32
557	9	3
558	13	13
559	5	27
560	1	28
561	3	20
562	9	4
563	3	35
564	4	1
565	6	15
566	4	22
567	7	1
568	7	3
569	5	54
570	2	23
571	8	48
572	0	31
573	10	6
574	2	3
575	2	1
576	5	30
577	5	3
578	6	28
579	1	14
580	5	2
581	4	12
582	4	5
583	2	5
