POS	occur	unknown
1	86	0
2	3	0
3	159	0
4	29	0
5	39	0
6	11	0
7	36	0
8	42	0
9	49	0
10	158	0
11	182	0
12	203	0
13	38	0
14	79	0
15	53	0
16	77	0
17	121	0
18	10	0
19	62	0
20	167	0
21	100	0
22	117	0
23	30	0
24	188	0
25	4	0
26	160	0
27	30	0
28	16	0
29	174	0
30	15	0
31	10	0
32	46	0
33	20	0
34	59	0
35	12	0
36	23	0
37	10	0
38	4	0
39	178	0
40	187	0
41	34	0
42	23	0
43	235	0
44	187	0
45	228	0
46	57	0
47	30	0
48	52	0
49	13	0
50	154	0
51	18	0
52	5	0
53	100	0
54	230	0
55	128	0
56	18	0
57	15	0
58	11	0
59	227	0
60	39	0
61	7	0
62	20	0
63	135	0
64	15	0
65	190	0
66	7	0
67	72	0
68	45	0
69	7	0
70	106	0
71	12	0
72	64	0
73	159	0
74	24	0
75	22	0
76	12	0
77	58	0
78	28	0
79	109	0
80	24	0
81	93	0
82	79	0
83	1	0
84	26	0
85	77	0
86	111	0
87	3	0
88	72	0
89	33	0
90	2	0
91	224	0
92	238	0
93	155	0
94	17	0
95	82	0
96	103	0
97	14	0
98	185	0
99	20	0
100	187	0
101	26	0
102	6	0
103	31	0
104	1	0
105	15	0
106	46	0
107	26	0
108	140	0
109	139	0
110	106	0
111	160	0
112	60	0
113	60	0
114	18	0
115	17	0
116	13	0
117	17	0
118	61	0
119	61	0
120	22	0
121	25	0
122	4	0
123	10	0
124	5	0
125	13	0
126	6	0
127	5	0
128	6	0
129	156	0
130	41	0
131	17	0
132	1	0
133	3	0
134	211	0
135	29	0
136	8	0
137	7	0
138	26	0
139	1	0
140	41	0
141	1	0
142	117	0
143	32	0
144	66	0
145	13	0
146	181	0
147	182	0
148	176	0
149	127	0
150	64	0
151	42	0
152	40	0
153	27	0
154	46	0
155	76	0
156	81	0
157	70	0
158	151	0
159	6	0
160	5	0
161	118	0
162	17	0
163	45	0
164	96	0
165	49	0
166	141	0
167	159	0
168	3	0
169	3	0
170	7	0
171	43	0
172	133	0
173	12	0
174	145	0
175	1	0
176	110	0
177	52	0
178	52	0
179	22	0
180	90	0
181	209	0
182	190	0
183	40	0
184	42	0
185	1	0
186	162	0
187	59	0
188	2	0
189	37	0
190	36	0
191	30	0
192	30	0
193	2	0
194	6	0
195	3	0
196	3	0
197	37	0
198	1	0
199	47	0
200	122	0
201	126	0
202	1	0
203	62	0
204	140	0
205	139	0
206	111	0
207	111	0
208	136	0
209	135	0
210	134	0
211	140	0
212	138	0
213	139	0
214	140	0
215	139	0
216	141	0
217	140	0
218	14	0
219	36	0
220	3	0
221	86	0
222	85	0
223	53	0
224	10	0
225	16	0
226	7	0
227	39	0
228	56	0
229	56	0
230	53	0
231	60	0
232	28	0
233	87	0
234	101	0
235	225	0
236	119	0
237	241	0
238	7	0
239	2	0
240	141	0
241	27	0
242	7	0
243	7	0
244	1	0
245	167	0
246	167	0
247	128	0
248	16	0
249	15	0
250	6	0
251	2	0
252	16	0
253	38	0
254	45	0
255	16	0
256	57	0
257	6	0
258	41	0
259	21	0
260	2	0
261	75	0
262	98	0
263	1	0
264	2	0
265	2	0
266	12	0
267	10	0
268	9	0
269	7	0
270	14	0
271	32	0
272	41	0
273	24	0
274	23	0
275	7	0
276	16	0
277	14	0
278	1	0
279	25	0
280	11	0
281	56	0
282	16	0
283	71	0
284	17	0
285	5	0
286	41	0
287	5	0
288	231	0
289	203	0
290	5	0
291	129	0
292	49	0
293	2	0
294	3	0
295	8	0
296	11	0
297	3	0
298	2	0
299	5	0
300	49	0
301	142	0
302	138	0
303	245	0
304	108	0
305	178	0
306	13	0
307	70	0
308	95	0
309	240	0
310	123	0
311	35	0
312	19	0
313	2	0
314	1	0
315	2	0
316	11	0
317	4	0
318	74	0
319	241	0
320	213	0
321	11	0
322	245	0
323	162	0
324	181	0
325	1	0
326	214	0
327	29	0
328	193	0
329	8	0
330	231	0
331	198	0
332	40	0
333	145	0
334	6	0
335	5	0
336	94	0
337	158	0
338	205	0
339	5	0
340	61	0
341	114	0
342	29	0
343	3	0
344	82	0
345	177	0
346	110	0
347	36	0
348	216	0
349	92	0
350	210	0
351	74	0
352	160	0
353	1	0
354	236	0
355	72	0
356	50	0
357	171	0
358	6	0
359	49	0
360	163	0
361	143	0
362	127	0
363	120	0
364	137	0
365	5	0
366	28	0
367	22	0
368	15	0
369	1	0
370	34	0
371	7	0
372	10	0
373	69	0
374	136	0
375	5	0
376	2	0
377	121	0
378	127	0
379	24	0
380	64	0
381	25	0
382	1	0
383	1	0
