# Various MP prints: 
#  0->0 =0
#  0->1 =1
#  1->0 =1
#  1->1 =0
58 2 
0 0 
0 0 
1 59 
59 1 
0 0 
9 3 
2 46 
37 7 
1 15 
47 1 
0 12 
47 1 
1 11 
9 3 
2 46 
41 3 
1 15 
58 2 
0 0 
11 1 
6 42 
54 4 
0 2 
36 8 
0 16 
13 3 
7 37 
58 2 
0 0 
42 4 
0 14 
28 0 
3 29 
57 3 
0 0 
21 3 
2 34 
58 2 
0 0 
42 2 
1 15 
49 3 
1 7 
49 3 
1 7 
28 0 
3 29 
0 0 
0 60 
45 1 
0 14 
43 3 
0 14 
42 2 
2 14 
14 2 
3 41 
24 2 
1 33 
49 1 
0 10 
26 2 
3 29 
0 0 
0 60 
59 1 
0 0 
41 3 
0 16 
14 2 
3 41 
24 2 
1 33 
8 0 
5 47 
47 1 
0 12 
57 3 
0 0 
0 0 
0 60 
0 0 
1 59 
57 3 
0 0 
5 1 
6 48 
59 1 
0 0 
44 6 
0 10 
0 0 
0 60 
49 1 
0 10 
8 0 
5 47 
28 0 
3 29 
6 0 
4 50 
6 0 
4 50 
42 6 
1 11 
58 2 
0 0 
8 0 
5 47 
0 0 
0 60 
45 1 
0 14 
0 0 
0 60 
9 1 
3 47 
19 5 
2 34 
2 0 
5 53 
0 0 
0 60 
45 3 
0 12 
42 2 
1 15 
31 5 
0 24 
58 2 
0 0 
0 0 
1 59 
0 0 
0 60 
0 0 
0 60 
46 2 
0 12 
54 4 
0 2 
57 3 
0 0 
3 1 
1 55 
53 5 
0 2 
47 1 
0 12 
59 1 
0 0 
42 4 
0 14 
0 0 
2 58 
56 4 
0 0 
42 2 
3 13 
41 3 
0 16 
12 2 
2 44 
11 1 
7 41 
39 9 
1 11 
52 2 
0 6 
40 2 
0 18 
16 2 
4 38 
0 0 
3 57 
44 4 
0 12 
53 5 
0 2 
9 3 
2 46 
22 4 
1 33 
0 0 
2 58 
42 6 
1 11 
42 6 
1 11 
59 1 
0 0 
29 5 
2 24 
6 0 
4 50 
55 5 
0 0 
33 3 
4 20 
6 0 
3 51 
0 0 
2 58 
58 2 
0 0 
0 0 
0 60 
43 1 
2 14 
39 3 
0 18 
35 7 
0 18 
0 0 
2 58 
43 5 
0 12 
58 2 
0 0 
55 5 
0 0 
25 3 
1 31 
25 3 
1 31 
38 6 
0 16 
59 1 
0 0 
30 6 
1 23 
17 1 
3 39 
42 2 
0 16 
42 2 
0 16 
58 2 
0 0 
21 5 
2 32 
59 1 
0 0 
28 0 
3 29 
26 2 
3 29 
41 1 
0 18 
4 0 
1 55 
0 0 
1 59 
58 2 
0 0 
59 1 
0 0 
2 0 
3 55 
45 3 
0 12 
36 8 
0 16 
44 10 
0 6 
57 1 
0 2 
23 5 
3 29 
0 0 
2 58 
42 6 
1 11 
18 4 
0 38 
54 6 
0 0 
8 0 
5 47 
8 0 
5 47 
0 0 
1 59 
0 0 
1 59 
43 3 
0 14 
47 3 
1 9 
59 1 
0 0 
21 5 
3 31 
39 5 
0 16 
29 3 
4 24 
33 7 
0 20 
59 1 
0 0 
38 6 
0 16 
25 3 
2 30 
59 1 
0 0 
41 9 
1 9 
22 0 
4 34 
30 2 
4 24 
49 3 
0 8 
49 3 
0 8 
50 8 
0 2 
57 3 
0 0 
42 4 
0 14 
59 1 
0 0 
0 0 
0 60 
0 0 
0 60 
0 0 
0 60 
0 0 
0 60 
0 0 
0 60 
41 5 
0 14 
56 4 
0 0 
0 0 
0 60 
58 2 
0 0 
58 2 
0 0 
22 0 
3 35 
46 2 
0 12 
59 1 
0 0 
56 4 
0 0 
50 8 
0 2 
53 5 
0 2 
59 1 
0 0 
0 0 
0 60 
28 2 
1 29 
59 1 
0 0 
56 4 
0 0 
58 2 
0 0 
47 1 
1 11 
2 0 
7 51 
4 0 
2 54 
0 0 
1 59 
9 1 
6 44 
59 1 
0 0 
14 2 
1 43 
18 2 
2 38 
14 2 
1 43 
0 0 
0 60 
0 0 
2 58 
43 3 
0 14 
0 0 
0 60 
42 2 
2 14 
16 0 
1 43 
16 0 
1 43 
16 0 
1 43 
16 0 
1 43 
0 0 
0 60 
0 0 
0 60 
0 0 
0 60 
0 0 
0 60 
56 2 
0 2 
5 1 
3 51 
52 4 
0 4 
49 1 
2 8 
46 2 
0 12 
37 9 
0 14 
45 1 
1 13 
42 4 
2 12 
47 1 
1 11 
0 0 
3 57 
30 2 
4 24 
3 1 
4 52 
0 0 
2 58 
17 1 
5 37 
24 6 
1 29 
39 5 
1 15 
43 3 
0 14 
47 1 
0 12 
39 7 
1 13 
4 0 
2 54 
39 5 
0 16 
31 5 
0 24 
4 0 
2 54 
9 1 
4 46 
45 1 
0 14 
9 1 
4 46 
9 1 
4 46 
39 3 
0 18 
59 1 
0 0 
46 2 
1 11 
36 4 
0 20 
55 5 
0 0 
18 4 
0 38 
59 1 
0 0 
59 1 
0 0 
47 1 
0 12 
0 0 
0 60 
58 2 
0 0 
53 7 
0 0 
59 1 
0 0 
33 3 
0 24 
41 3 
0 16 
8 0 
5 47 
0 0 
1 59 
0 0 
2 58 
0 0 
1 59 
0 0 
0 60 
15 5 
2 38 
19 1 
2 38 
16 2 
3 39 
3 1 
4 52 
43 3 
0 14 
0 0 
0 60 
0 0 
1 59 
46 2 
0 12 
37 7 
1 15 
58 2 
0 0 
59 1 
0 0 
33 3 
0 24 
33 3 
2 22 
45 3 
0 12 
8 2 
3 47 
8 2 
3 47 
36 6 
0 18 
53 5 
0 2 
55 5 
0 0 
59 1 
0 0 
51 7 
0 2 
45 7 
0 8 
58 2 
0 0 
0 0 
0 60 
0 0 
2 58 
0 0 
0 60 
57 1 
0 2 
45 1 
0 14 
59 1 
0 0 
58 2 
0 0 
58 2 
0 0 
41 5 
0 14 
40 4 
0 16 
55 5 
0 0 
54 6 
0 0 
6 0 
6 48 
59 1 
0 0 
59 1 
0 0 
29 5 
0 26 
8 2 
4 46 
49 1 
1 9 
59 1 
0 0 
23 1 
2 34 
25 5 
0 30 
57 3 
0 0 
57 3 
0 0 
33 3 
4 20 
33 3 
4 20 
55 5 
0 0 
28 4 
2 26 
28 4 
2 26 
47 1 
1 11 
51 5 
0 4 
0 0 
4 56 
8 0 
5 47 
0 0 
2 58 
57 1 
0 2 
59 1 
0 0 
8 2 
4 46 
57 3 
0 0 
5 1 
2 52 
56 4 
0 0 
44 4 
1 11 
58 2 
0 0 
36 4 
0 20 
8 2 
3 47 
5 1 
5 49 
33 3 
4 20 
2 0 
7 51 
39 3 
0 18 
18 2 
3 37 
52 4 
0 4 
7 1 
2 50 
5 1 
5 49 
0 0 
1 59 
5 1 
5 49 
5 1 
5 49 
0 0 
0 60 
4 0 
3 53 
59 1 
0 0 
50 2 
1 7 
0 0 
4 56 
58 2 
0 0 
58 2 
0 0 
58 2 
0 0 
46 2 
0 12 
59 1 
0 0 
10 2 
4 44 
10 2 
4 44 
53 5 
0 2 
48 2 
0 10 
32 4 
1 23 
59 1 
0 0 
56 4 
0 0 
59 1 
0 0 
59 1 
0 0 
59 1 
0 0 
46 2 
0 12 
47 1 
0 12 
51 5 
0 4 
12 4 
1 43 
53 5 
0 2 
30 4 
2 24 
54 6 
0 0 
22 4 
2 32 
0 0 
0 60 
0 0 
0 60 
57 3 
0 0 
15 3 
4 38 
35 5 
1 19 
35 5 
1 19 
12 2 
0 46 
35 5 
2 18 
4 0 
4 52 
46 2 
0 12 
59 1 
0 0 
59 1 
0 0 
59 1 
0 0 
53 5 
0 2 
2 0 
7 51 
59 1 
0 0 
57 3 
0 0 
57 1 
0 2 
44 10 
0 6 
56 2 
0 2 
59 1 
0 0 
30 0 
4 26 
40 2 
1 17 
56 2 
0 2 
59 1 
0 0 
26 4 
3 27 
22 0 
4 34 
22 0 
4 34 
4 0 
4 52 
3 1 
2 54 
0 0 
0 60 
42 4 
1 13 
58 2 
0 0 
59 1 
0 0 
43 3 
1 13 
59 1 
0 0 
0 0 
2 58 
57 3 
0 0 
51 1 
1 7 
59 1 
0 0 
42 6 
1 11 
42 6 
1 11 
29 5 
1 25 
58 2 
0 0 
59 1 
0 0 
57 3 
0 0 
57 3 
0 0 
5 1 
1 53 
5 1 
1 53 
5 1 
1 53 
5 1 
1 53 
0 0 
0 60 
18 0 
2 40 
41 5 
0 14 
0 0 
2 58 
40 4 
0 16 
45 3 
0 12 
30 6 
2 22 
16 4 
1 39 
54 4 
