POS	prob01	prob10
1	8.696	12.6
2	4.334	6.191
3	6.529	5.119
4	8.156	6.885
5	5.502	4.065
6	4.912	8.891
7	6.375	5.313
8	4.181	4.367
9	6.41	6.86
10	1.119	2.946
11	1.968	3.728
12	6.401	4.347
13	2.82	1.378
14	3.512	5.911
15	4.261	3.676
16	7.124	11.32
17	2.046	1.544
18	4.233	3.107
19	1.68	1.029
20	2.896	5.975
21	6.586	10.34
22	3.01	5.006
23	2.242	1.573
24	7.17	6.388
25	6.798	7.487
26	1.433	0.3679
27	1.68	1.029
28	4.687	5.462
29	6.676	3.238
30	5.522	3.128
31	1.326	0.655
32	3.762	5.809
33	1.386	3.936
34	3.739	1.823
35	5.82	7.683
36	1.68	1.029
37	2.173	5.995
38	4.538	7.619
39	6.44	5.622
40	9.762	5.705
41	3.859	5.417
42	5.431	4.898
43	4.177	4.65
44	2.574	0.5622
45	1.415	0.9875
46	4.919	3.267
47	1.453	0.6385
48	3.247	4.529
49	1.141	1.733
50	1.68	1.029
51	1.433	0.3679
52	2.149	1.76
53	7.436	4.355
54	4.136	7.445
55	3.491	2.246
56	7.47	3.885
57	2.654	1.535
58	2.654	1.535
59	1.68	1.029
60	4.132	2.779
61	3.219	4.302
62	6.19	5.997
63	4.381	1.218
64	1.571	0.5408
65	1.571	0.5408
66	6.536	5.909
67	4.586	2.617
68	6.776	4.726
69	1.279	3.912
70	6.655	8.195
71	1.964	2.53
72	3.143	4.235
73	4.06	2.116
74	6.358	3.871
75	4.994	4.205
76	1.183	4.83
77	2.82	1.378
78	4.462	6.251
79	3.981	2.366
80	2.18	3.456
81	4.06	3.238
82	4.06	3.238
83	2.657	0.7606
84	3.759	0.994
85	6.379	4.643
86	6.379	4.643
87	2.41	2.054
88	2.41	2.054
89	2.41	2.054
90	2.41	2.054
91	1.434	3.148
92	1.434	3.148
93	1.422	1.935
94	1.422	1.935
95	3.672	3.307
96	2.149	1.76
97	7.043	7.919
98	3.128	2.087
99	2.331	2.502
100	1.502	4.671
101	2.544	1.245
102	2.897	6.807
103	1.433	0.3679
104	1.415	0.9875
105	5.303	5.369
106	3.001	2.617
107	3.001	2.617
108	4.285	2.602
109	1.433	0.3679
110	4.792	6.317
111	1.659	1.501
112	1.659	1.501
113	1.415	0.9875
114	6.459	4.191
115	1.68	1.029
116	1.68	1.029
117	1.68	1.029
118	3.033	2.245
119	8.73	8.744
120	3.202	1.987
121	7.739	5.922
122	2.82	1.378
123	9.186	3.072
124	4.998	3.758
125	1.68	1.029
126	2.583	0.829
127	2.458	1.871
128	8.01	6.654
129	3.561	1.675
130	3.461	2.372
131	3.461	2.372
132	2.574	0.5622
133	1.592	4.66
134	1.923	2.223
135	1.422	1.935
136	3.547	2.228
137	6.593	10.24
138	3.909	2.551
139	1.68	1.029
140	1.68	1.029
141	1.68	1.029
142	1.68	1.029
143	1.68	1.029
144	3.399	2.246
145	1.433	0.3679
146	2.791	0.7953
147	4.016	1.318
148	3.771	3.399
149	3.771	3.399
150	3.216	2.326
151	3.216	2.326
152	5.011	1.767
153	5.552	2.649
154	3.613	1.277
155	3.771	3.399
156	3.771	3.399
157	3.771	3.399
158	3.771	3.399
159	3.771	3.399
160	3.771	3.399
161	3.771	3.399
162	1.949	1.28
163	1.68	1.029
164	2.574	0.5622
165	2.574	0.5622
166	3.366	4.203
167	2.178	1.889
168	2.112	1.63
169	5.1	1.564
170	5.1	1.564
171	4.025	2.474
172	6.04	2.273
173	3.438	2.427
174	2.574	0.5622
175	2.574	0.5622
176	2.215	4.303
177	2.726	1.976
178	4.205	3.593
179	5.415	2.272
180	2.41	2.054
181	2.149	1.76
182	2.149	1.76
183	3.51	5.036
184	3.51	5.036
185	5.593	9.239
186	1.949	1.28
187	1.68	1.029
188	1.68	1.029
189	3.077	2.259
190	1.68	1.029
