# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =1
#  1->0 =1
#  1->1 =0
POS	MP01	MP10
1	2	0
2	0	1
3	1	0
4	3	2
5	7	1
6	1	0
7	1	1
8	3	2
9	3	1
10	2	0
11	1	6
12	4	0
13	8	0
14	3	6
15	2	0
16	4	0
17	0	3
18	3	0
19	3	2
20	2	0
21	2	1
22	3	1
23	3	1
24	0	3
25	0	0
26	1	0
27	3	0
28	2	2
29	2	3
30	2	1
31	1	0
32	2	3
33	0	0
34	1	0
35	3	0
36	2	3
37	2	1
38	0	5
39	1	0
40	3	0
41	0	0
42	0	1
43	3	0
44	1	6
45	1	0
46	6	0
47	0	0
48	1	0
49	0	5
50	0	3
51	0	4
52	0	4
53	6	1
54	2	0
55	0	5
56	0	0
57	1	0
58	0	0
59	1	3
60	5	2
61	0	5
62	0	0
63	3	0
64	2	1
65	5	0
66	2	0
67	0	1
68	0	0
69	0	0
70	2	0
71	4	0
72	3	0
73	1	1
74	4	1
75	1	0
76	1	0
77	4	0
78	0	2
79	4	0
80	2	3
81	3	0
82	2	2
83	1	7
84	9	1
85	2	0
86	2	0
87	2	4
88	0	3
89	4	0
90	4	1
91	3	2
92	4	1
93	0	2
94	4	2
95	4	2
96	1	0
97	5	2
98	0	4
99	5	0
100	3	4
101	0	3
102	0	2
103	2	0
104	0	0
105	1	2
106	3	0
107	7	0
108	0	2
109	5	0
110	2	0
111	5	0
112	3	1
113	3	1
114	6	0
115	1	0
116	6	1
117	1	3
118	2	0
119	2	0
120	2	0
121	5	2
122	1	0
123	0	3
124	2	3
125	1	0
126	0	1
127	0	1
128	2	0
129	1	0
130	0	3
131	3	0
132	8	0
133	9	1
134	1	0
135	5	3
136	0	2
137	4	2
138	4	0
139	6	0
140	0	5
141	0	5
142	0	1
143	0	1
144	3	0
145	3	1
146	1	0
147	5	3
148	5	0
149	3	4
150	7	0
151	1	0
152	6	0
153	3	2
154	1	0
155	9	1
156	0	4
157	3	4
158	3	0
159	3	0
160	8	0
161	3	0
162	4	0
163	1	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	5	0
170	4	0
171	0	0
172	2	0
173	2	0
174	0	3
175	2	0
176	1	0
177	4	0
178	8	0
179	5	0
180	1	0
181	0	0
182	2	1
183	1	0
184	4	0
185	2	0
186	1	1
187	0	7
188	0	2
189	0	1
190	1	6
191	1	0
192	2	1
193	2	2
194	2	1
195	0	0
196	0	2
197	3	0
198	0	0
199	2	2
200	0	1
201	0	1
202	0	1
203	0	1
204	0	0
205	0	0
206	0	0
207	0	0
208	3	0
209	1	3
210	4	0
211	1	1
212	2	0
213	9	0
214	1	1
215	4	2
216	1	1
217	0	3
218	3	4
219	1	4
220	0	2
221	1	5
222	6	1
223	5	1
224	3	0
225	1	0
226	7	1
227	0	2
228	5	0
229	5	0
230	0	2
231	1	4
232	1	0
233	1	4
234	1	4
235	3	0
236	1	0
237	2	1
238	4	0
239	5	0
240	4	0
241	1	0
242	1	0
243	1	0
244	0	0
245	2	0
246	7	0
247	1	0
248	3	0
249	3	0
250	0	5
251	0	1
252	0	2
253	0	1
254	0	0
255	5	2
256	1	2
257	2	3
258	1	4
259	3	0
260	0	0
261	0	1
262	2	0
263	7	1
264	2	0
265	1	0
266	3	0
267	3	2
268	3	0
269	2	3
270	2	3
271	6	0
272	5	0
273	5	0
274	1	0
275	7	0
276	7	0
277	2	0
278	0	0
279	0	2
280	0	0
281	1	0
282	1	0
283	1	0
284	2	0
285	2	0
286	5	0
287	4	0
288	5	0
289	6	0
290	0	6
291	1	0
292	1	0
293	5	0
294	2	4
295	1	1
296	1	0
297	1	2
298	5	0
299	3	0
300	3	0
301	3	4
302	3	4
303	5	0
304	4	2
305	4	2
306	1	1
307	5	0
308	0	4
309	0	5
310	0	2
311	1	0
312	1	0
313	2	4
314	3	0
315	1	2
316	4	0
317	4	1
318	2	0
319	4	0
320	2	3
321	1	5
322	3	4
323	0	7
324	3	0
325	2	3
326	4	0
327	1	2
328	1	5
329	0	1
330	1	5
331	1	5
332	0	0
333	0	3
334	1	0
335	2	1
336	0	4
337	2	0
338	2	0
339	2	0
340	2	0
341	1	0
342	2	4
343	2	4
344	5	0
345	2	0
346	4	1
347	1	0
348	4	0
349	1	0
350	1	0
351	1	0
352	2	0
353	1	0
354	3	1
355	4	1
356	4	1
357	4	2
358	6	0
359	4	2
360	0	0
361	0	0
362	3	0
363	3	4
364	5	1
365	5	1
366	2	0
367	5	2
368	0	4
369	2	0
370	1	0
371	1	0
372	1	0
373	5	0
374	0	7
375	1	0
376	3	0
377	1	0
378	9	1
379	2	0
380	1	0
381	0	4
382	2	1
383	2	0
384	1	0
385	4	3
386	0	4
387	0	4
388	0	4
389	1	2
390	0	0
391	4	1
392	2	0
393	1	0
394	3	1
395	1	0
396	0	2
397	3	0
398	1	1
399	1	0
400	4	2
401	4	2
402	5	1
403	2	0
404	1	0
405	3	0
406	3	0
407	1	1
408	1	1
409	1	1
410	1	1
411	0	0
412	0	2
413	5	0
414	0	2
415	4	0
416	3	0
417	6	2
418	4	1
419	4	0
420	0	1
421	1	4
422	5	0
423	1	4
424	0	0
425	0	0
426	1	4
427	1	4
428	1	4
429	8	0
430	1	0
431	1	0
432	6	0
433	6	0
434	1	0
435	1	0
436	6	0
437	6	0
438	3	4
439	2	0
440	7	0
441	1	2
442	3	0
443	3	0
444	6	0
445	4	0
446	0	0
447	6	0
448	2	0
449	2	0
450	0	4
451	6	0
452	1	0
453	0	0
454	2	3
455	4	0
456	1	1
457	0	0
458	0	0
459	4	0
460	4	0
461	0	0
462	1	0
463	2	6
464	2	2
465	1	1
466	5	0
467	1	1
468	6	1
469	0	3
470	8	0
471	1	1
472	0	2
473	4	1
474	0	0
475	2	0
476	0	5
477	2	0
478	0	3
479	0	3
480	1	4
481	2	4
482	2	4
483	2	4
484	1	4
485	1	0
486	1	0
487	0	0
488	4	0
489	5	0
490	0	2
491	0	1
492	1	0
493	0	1
494	2	2
495	0	0
496	0	5
497	0	2
498	1	0
499	1	0
500	2	0
501	0	0
502	3	0
503	7	2
504	1	1
505	5	0
506	6	1
507	6	1
508	2	0
509	3	4
510	2	0
511	4	1
512	6	0
513	5	0
514	5	1
515	5	0
516	4	0
517	4	0
518	4	1
519	4	1
520	4	1
521	2	4
522	0	4
523	2	3
524	2	1
525	2	3
526	1	0
527	3	0
528	1	0
529	6	0
530	4	1
531	0	3
532	3	0
533	3	0
534	0	0
535	2	2
536	9	0
537	3	0
538	5	0
539	1	0
540	0	0
541	0	1
542	0	1
543	1	0
544	3	0
545	4	0
546	7	2
547	6	1
548	1	3
549	1	0
550	1	3
551	4	2
552	3	0
553	3	0
554	4	0
555	7	0
556	1	0
557	0	3
558	1	0
559	0	5
560	7	0
561	7	0
562	2	0
563	2	0
564	1	3
565	1	0
566	1	0
567	1	0
568	1	0
569	5	0
570	2	0
571	2	0
572	2	0
573	2	0
574	2	0
575	2	0
