POS	occur	unknown
287	23	0
288	20	0
289	21	0
290	8	0
291	24	0
292	10	0
293	8	0
294	7	0
295	23	0
296	1	0
297	13	0
298	8	0
299	6	0
300	20	0
301	2	0
302	30	0
303	20	0
304	1	0
305	4	0
306	2	0
307	27	0
308	20	0
309	10	0
310	15	0
311	5	0
312	2	0
313	2	0
314	5	0
315	12	0
316	2	0
317	27	0
318	23	0
319	12	0
320	27	0
321	24	0
322	20	0
323	24	0
324	11	0
325	15	0
326	5	0
327	1	0
328	23	0
329	30	0
330	13	0
331	4	0
332	20	0
333	24	0
334	20	0
335	25	0
336	12	0
337	23	0
338	29	0
339	17	0
340	23	0
341	18	0
342	5	0
343	2	0
344	1	0
345	20	0
346	3	0
347	6	0
348	6	0
349	3	0
350	9	0
351	22	0
352	6	0
353	4	0
354	3	0
355	11	0
356	14	0
357	3	0
358	24	0
359	29	0
360	11	0
361	28	0
362	7	0
363	20	0
364	24	0
365	6	0
366	12	0
367	22	0
368	28	0
369	30	0
370	27	0
371	27	0
372	15	0
373	13	0
374	20	0
375	29	0
376	30	0
377	1	0
378	9	0
379	10	0
380	5	0
381	22	0
382	28	0
383	23	0
384	10	0
385	1	0
386	26	0
387	25	0
388	17	0
389	5	0
390	14	0
391	13	0
392	1	0
393	18	0
394	1	0
395	29	0
396	26	0
397	6	0
398	1	0
399	1	0
400	8	0
401	11	0
402	13	0
403	6	0
404	17	0
405	2	0
406	2	0
407	2	0
408	4	0
409	4	0
410	2	0
411	2	0
412	14	0
413	4	0
414	6	0
415	1	0
416	7	0
417	8	0
418	3	0
419	7	0
420	8	0
421	7	0
422	12	0
423	1	0
424	13	0
425	17	0
426	6	0
427	11	0
428	1	0
429	5	0
430	6	0
431	9	0
432	19	0
433	23	0
434	5	0
435	12	0
436	7	0
437	13	0
438	2	0
439	1	0
440	15	0
441	1	0
442	25	0
443	13	0
444	5	0
445	10	0
446	14	0
447	1	0
448	9	0
449	2	0
450	5	0
451	19	0
452	19	0
453	17	0
454	7	0
455	6	0
456	3	0
457	6	0
458	7	0
459	3	0
460	2	0
461	14	0
462	9	0
463	8	0
464	2	0
465	1	0
466	4	0
467	3	0
468	2	0
469	7	0
470	19	0
471	15	0
472	6	0
473	1	0
474	3	0
475	13	0
476	9	0
477	27	0
478	5	0
479	7	0
480	14	0
481	22	0
482	11	0
483	17	0
484	29	0
485	13	0
486	6	0
487	3	0
488	3	0
489	3	0
490	12	0
491	3	0
492	12	0
493	24	0
494	15	0
495	27	0
496	11	0
497	21	0
498	2	0
499	2	0
500	1	0
501	6	0
502	4	0
503	30	0
504	4	0
505	7	0
506	8	0
507	3	0
508	2	0
509	1	0
510	7	0
511	5	0
512	10	0
513	5	0
514	6	0
515	8	0
516	13	0
517	7	0
518	19	0
519	20	0
520	19	0
521	11	0
522	23	0
523	8	0
524	9	0
525	1	0
526	2	0
527	23	0
528	24	0
529	30	0
530	5	0
531	7	0
532	23	0
533	7	0
534	13	0
535	1	0
536	1	0
537	7	0
538	1	0
539	1	0
540	4	0
541	5	0
542	3	0
543	2	0
544	10	0
545	1	0
546	7	0
547	15	0
548	11	0
549	12	0
550	4	0
551	7	0
552	14	0
553	26	0
554	28	0
555	21	0
556	2	0
557	1	0
558	17	0
559	12	0
560	3	0
561	14	0
562	8	0
563	6	0
564	13	0
565	19	0
566	9	0
567	2	0
568	18	0
569	1	0
570	20	0
571	14	0
572	12	0
573	3	0
574	27	0
575	16	0
576	14	0
577	15	0
578	11	0
579	8	0
580	6	0
581	1	0
582	19	0
583	4	0
584	6	0
585	7	0
586	11	0
587	2	0
588	12	0
589	12	0
590	13	0
591	12	0
592	17	0
593	18	0
594	24	0
595	19	0
596	3	0
597	19	0
598	10	0
599	3	0
600	16	0
601	25	0
602	14	0
603	14	0
604	2	0
605	6	0
606	1	0
607	5	0
608	17	0
609	7	0
610	10	0
611	2	0
612	2	0
613	19	0
614	15	0
615	9	0
616	1	0
617	6	0
618	13	0
619	18	0
620	7	0
621	3	0
622	11	0
623	21	0
624	22	0
625	3	0
626	14	0
627	3	0
628	19	0
629	19	0
630	6	0
631	1	0
632	5	0
633	4	0
634	25	0
635	10	0
636	9	0
637	1	0
638	26	0
639	3	0
640	7	0
641	14	0
642	4	0
643	1	0
644	2	0
645	1	0
646	1	0
647	26	0
648	12	0
649	20	0
650	24	0
651	16	0
652	25	0
653	14	0
654	11	0
655	20	0
656	10	0
657	1	0
658	14	0
659	5	0
660	26	0
661	10	0
662	18	0
663	23	0
664	2	0
665	16	0
666	20	0
667	2	0
668	2	0
669	17	0
670	1	0
671	18	0
672	29	0
673	22	0
674	12	0
675	7	0
676	30	0
677	28	0
678	2	0
679	15	0
680	25	0
681	21	0
682	7	0
683	1	0
684	1	0
685	1	0
686	12	0
687	13	0
688	23	0
689	13	0
690	24	0
691	12	0
692	10	0
693	20	0
694	11	0
695	4	0
696	13	0
697	9	0
698	4	0
699	18	0
700	21	0
701	6	0
702	5	0
703	26	0
704	27	0
705	14	0
706	13	0
707	10	0
708	2	0
709	6	0
710	2	0
711	14	0
712	2	0
713	7	0
714	1	0
715	13	0
716	1	0
717	1	0
718	2	0
719	24	0
720	24	0
721	7	0
722	1	0
723	18	0
724	13	0
725	25	0
726	11	0
727	17	0
728	16	0
729	15	0
730	2	0
731	1	0
732	3	0
733	11	0
734	16	0
735	5	0
736	18	0
737	29	0
738	23	0
739	15	0
740	16	0
741	7	0
742	28	0
743	28	0
744	27	0
745	18	0
746	30	0
747	20	0
748	23	0
749	1	0
750	28	0
751	8	0
752	30	0
753	28	0
754	23	0
755	7	0
756	3	0
757	6	0
758	22	0
759	22	0
760	22	0
761	4	0
762	1	0
763	1	0
764	2	0
765	1	0
766	2	0
767	6	0
768	20	0
769	1	0
770	13	0
771	7	0
772	7	0
773	4	0
774	5	0
775	3	0
776	1	0
777	2	0
778	7	0
779	1	0
780	10	0
781	8	0
782	1	0
783	1	0
784	4	0
785	11	0
786	7	0
787	13	0
788	9	0
789	3	0
790	4	0
791	4	0
792	4	0
793	3	0
794	5	0
795	5	0
796	8	0
797	3	0
798	4	0
799	1	0
800	7	0
801	29	0
802	6	0
803	6	0
804	9	0
805	7	0
806	7	0
807	6	0
808	10	0
809	22	0
810	10	0
811	27	0
812	6	0
813	21	0
814	21	0
815	21	0
816	19	0
817	7	0
818	7	0
819	9	0
820	1	0
821	6	0
822	9	0
823	3	0
824	6	0
825	14	0
826	30	0
827	6	0
828	7	0
829	20	0
830	20	0
831	6	0
832	6	0
833	5	0
834	14	0
835	13	0
836	14	0
837	11	0
838	14	0
839	21	0
840	11	0
841	15	0
842	11	0
843	2	0
844	6	0
845	26	0
846	9	0
847	9	0
848	1	0
849	2	0
850	1	0
851	1	0
852	1	0
853	1	0
854	1	0
855	1	0
856	1	0
857	5	0
858	1	0
859	1	0
860	16	0
861	1	0
862	5	0
863	4	0
864	3	0
865	3	0
866	8	0
867	8	0
868	3	0
869	3	0
870	15	0
871	16	0
872	18	0
873	1	0
874	1	0
875	1	0
876	22	0
877	21	0
878	21	0
879	1	0
880	9	0
881	10	0
882	14	0
883	18	0
884	9	0
885	9	0
886	15	0
887	10	0
888	11	0
889	1	0
890	2	0
891	2	0
892	6	0
893	6	0
894	19	0
895	19	0
896	19	0
897	20	0
898	13	0
899	12	0
900	12	0
901	9	0
902	13	0
903	13	0
904	10	0
905	14	0
906	14	0
907	3	0
908	2	0
909	4	0
910	3	0
911	1	0
912	9	0
913	10	0
914	11	0
915	11	0
916	18	0
917	1	0
918	1	0
919	1	0
920	1	0
921	20	0
922	7	0
923	30	0
924	30	0
925	13	0
926	28	0
927	16	0
928	10	0
929	9	0
930	6	0
931	17	0
932	12	0
933	20	0
934	13	0
935	19	0
936	3	0
937	10	0
938	7	0
939	12	0
940	21	0
941	6	0
942	7	0
943	13	0
944	12	0
945	14	0
946	12	0
947	9	0
948	11	0
949	11	0
950	4	0
951	1	0
952	2	0
953	1	0
954	3	0
955	4	0
956	3	0
957	4	0
958	3	0
959	1	0
960	3	0
961	3	0
962	4	0
963	13	0
964	1	0
965	10	0
966	1	0
967	1	0
968	1	0
969	8	0
970	3	0
971	1	0
972	2	0
973	1	0
974	4	0
975	15	0
976	2	0
977	4	0
978	27	0
979	1	0
980	4	0
981	7	0
982	10	0
983	13	0
984	11	0
985	8	0
986	27	0
987	15	0
988	28	0
989	12	0
990	19	0
991	19	0
992	13	0
993	9	0
994	25	0
995	12	0
996	15	0
997	9	0
998	15	0
999	13	0
1000	27	0
1001	7	0
1002	10	0
1003	7	0
1004	9	0
1005	16	0
1006	2	0
1007	10	0
1008	14	0
1009	15	0
1010	14	0
1011	9	0
1012	15	0
1013	6	0
1014	20	0
1015	7	0
1016	7	0
1017	13	0
1018	5	0
1019	9	0
1020	14	0
1021	13	0
1022	13	0
1023	13	0
1024	5	0
1025	1	0
1026	18	0
1027	12	0
1028	6	0
1029	2	0
1030	20	0
1031	1	0
1032	21	0
1033	8	0
1034	10	0
1035	5	0
1036	1	0
1037	1	0
1038	3	0
1039	3	0
1040	3	0
1041	3	0
1042	5	0
1043	6	0
1044	4	0
1045	4	0
1046	3	0
1047	6	0
1048	1	0
1049	9	0
1050	27	0
1051	26	0
1052	19	0
1053	20	0
1054	2	0
1055	30	0
1056	4	0
1057	4	0
1058	2	0
1059	2	0
1060	3	0
1061	12	0
1062	26	0
1063	7	0
1064	12	0
1065	6	0
1066	2	0
1067	1	0
1068	6	0
1069	1	0
1070	8	0
1071	1	0
1072	1	0
1073	3	0
1074	1	0
1075	4	0
1076	1	0
1077	3	0
1078	16	0
1079	1	0
1080	1	0
1081	1	0
1082	2	0
1083	3	0
1084	4	0
1085	7	0
1086	6	0
1087	1	0
1088	7	0
1089	4	0
1090	6	0
1091	1	0
1092	1	0
1093	1	0
1094	1	0
1095	1	0
1096	1	0
1097	13	0
1098	1	0
1099	1	0
1100	5	0
1101	4	0
1102	4	0
1103	5	0
1104	4	0
1105	2	0
1106	2	0
1107	1	0
1108	6	0
1109	6	0
1110	1	0
1111	1	0
1112	3	0
1113	9	0
1114	2	0
1115	7	0
1116	2	0
1117	12	0
1118	13	0
1119	10	0
1120	4	0
1121	4	0
1122	1	0
1123	5	0
1124	3	0
1125	6	0
1126	7	0
1127	10	0
1128	12	0
1129	3	0
1130	2	0
1131	3	0
1132	3	0
1133	1	0
1134	2	0
1135	15	0
1136	5	0
1137	2	0
1138	1	0
1139	1	0
1140	1	0
1141	27	0
1142	7	0
1143	9	0
1144	1	0
1145	2	0
1146	2	0
1147	25	0
1148	6	0
1149	6	0
1150	6	0
1151	6	0
1152	5	0
1153	8	0
1154	19	0
1155	1	0
1156	5	0
1157	6	0
1158	5	0
1159	5	0
1160	7	0
1161	7	0
1162	5	0
1163	1	0
1164	5	0
1165	1	0
1166	1	0
1167	1	0
1168	16	0
1169	3	0
1170	7	0
1171	19	0
1172	3	0
1173	6	0
1174	14	0
1175	27	0
1176	25	0
1177	8	0
1178	1	0
1179	5	0
1180	13	0
1181	2	0
1182	13	0
1183	1	0
1184	4	0
1185	19	0
1186	8	0
1187	1	0
1188	4	0
1189	1	0
1190	2	0
1191	26	0
1192	5	0
1193	4	0
1194	6	0
1195	6	0
1196	7	0
1197	7	0
1198	6	0
1199	8	0
1200	3	0
1201	3	0
1202	7	0
1203	18	0
1204	3	0
1205	7	0
1206	14	0
1207	1	0
1208	29	0
1209	6	0
1210	6	0
1211	6	0
1212	7	0
1213	16	0
1214	1	0
1215	4	0
1216	2	0
1217	2	0
1218	1	0
1219	10	0
1220	14	0
1221	4	0
1222	5	0
1223	7	0
1224	6	0
1225	10	0
1226	7	0
1227	12	0
1228	5	0
1229	3	0
1230	3	0
1231	5	0
1232	10	0
1233	6	0
1234	3	0
1235	1	0
1236	6	0
1237	2	0
1238	2	0
1239	2	0
1240	24	0
1241	3	0
1242	6	0
1243	10	0
1244	4	0
1245	4	0
1246	1	0
1247	5	0
1248	6	0
1249	8	0
1250	2	0
1251	3	0
1252	4	0
1253	2	0
1254	1	0
1255	1	0
1256	2	0
1257	22	0
1258	5	0
1259	3	0
1260	2	0
1261	4	0
1262	4	0
1263	3	0
1264	3	0
1265	14	0
1266	4	0
1267	4	0
1268	5	0
1269	7	0
1270	26	0
1271	2	0
1272	2	0
1273	4	0
1274	7	0
1275	5	0
1276	3	0
1277	5	0
1278	13	0
1279	4	0
1280	1	0
1281	6	0
1282	1	0
1283	5	0
1284	1	0
1285	2	0
1286	8	0
1287	3	0
1288	5	0
1289	5	0
1290	6	0
1291	14	0
1292	2	0
1293	3	0
1294	6	0
1295	4	0
1296	5	0
1297	6	0
1298	6	0
1299	5	0
1300	5	0
1301	4	0
1302	3	0
1303	1	0
1304	1	0
1305	1	0
1306	1	0
1307	1	0
1308	1	0
1309	2	0
1310	3	0
1311	3	0
1312	26	0
1313	2	0
1314	2	0
1315	1	0
1316	1	0
1317	4	0
1318	4	0
1319	1	0
1320	1	0
1321	1	0
1322	4	0
1323	4	0
1324	4	0
1325	2	0
1326	6	0
1327	1	0
1328	3	0
1329	4	0
1330	1	0
1331	4	0
1332	2	0
1333	7	0
1334	1	0
1335	1	0
1336	3	0
1337	4	0
1338	2	0
1339	2	0
1340	9	0
1341	1	0
1342	20	0
1343	1	0
1344	5	0
1345	21	0
1346	12	0
1347	3	0
1348	1	0
1349	3	0
1350	3	0
1351	25	0
1352	6	0
1353	4	0
1354	6	0
1355	1	0
1356	1	0
1357	1	0
1358	1	0
1359	1	0
1360	7	0
1361	11	0
1362	7	0
1363	3	0
1364	1	0
1365	9	0
1366	1	0
1367	1	0
1368	1	0
1369	1	0
1370	3	0
1371	8	0
1372	6	0
1373	2	0
1374	2	0
1375	2	0
1376	4	0
1377	6	0
1378	1	0
1379	5	0
1380	4	0
1381	3	0
1382	5	0
1383	6	0
1384	6	0
1385	5	0
1386	7	0
1387	1	0
1388	3	0
1389	2	0
1390	2	0
1391	2	0
1392	1	0
1393	27	0
1394	2	0
1395	1	0
1396	1	0
1397	1	0
1398	1	0
1399	5	0
1400	4	0
1401	3	0
1402	1	0
1403	1	0
1404	1	0
1405	9	0
1406	1	0
1407	4	0
1408	4	0
1409	1	0
1410	1	0
1411	2	0
1412	7	0
1413	6	0
1414	2	0
1415	5	0
1416	14	0
1417	2	0
1418	1	0
1419	4	0
1420	8	0
1421	6	0
1422	1	0
1423	1	0
1424	1	0
1425	1	0
1426	1	0
1427	1	0
1428	1	0
1429	1	0
1430	3	0
1431	11	0
1432	20	0
1433	1	0
1434	9	0
1435	2	0
1436	1	0
1437	1	0
1438	3	0
1439	3	0
1440	3	0
1441	4	0
1442	3	0
1443	1	0
1444	1	0
1445	1	0
1446	1	0
1447	6	0
1448	4	0
1449	1	0
1450	10	0
1451	5	0
1452	24	0
1453	12	0
1454	6	0
1455	13	0
1456	12	0
1457	1	0
1458	1	0
1459	2	0
1460	5	0
1461	1	0
1462	14	0
1463	1	0
1464	15	0
1465	7	0
1466	5	0
1467	1	0
1468	3	0
1469	8	0
1470	1	0
1471	1	0
1472	1	0
1473	14	0
1474	6	0
1475	3	0
1476	2	0
1477	1	0
1478	6	0
1479	4	0
1480	1	0
1481	1	0
1482	2	0
1483	5	0
1484	2	0
1485	2	0
1486	2	0
1487	1	0
1488	2	0
1489	1	0
1490	1	0
1491	2	0
1492	2	0
1493	2	0
1494	3	0
1495	2	0
1496	1	0
1497	1	0
1498	6	0
1499	4	0
1500	3	0
1501	1	0
1502	2	0
1503	1	0
1504	2	0
1505	1	0
1506	4	0
1507	4	0
1508	3	0
1509	7	0
1510	2	0
1511	1	0
1512	1	0
1513	1	0
1514	1	0
1515	1	0
1516	2	0
1517	2	0
1518	2	0
1519	2	0
1520	9	0
1521	1	0
1522	1	0
1523	1	0
1524	3	0
1525	1	0
1526	1	0
1527	1	0
1528	2	0
1529	2	0
1530	2	0
1531	2	0
1532	1	0
1533	1	0
1534	1	0
1535	26	0
1536	2	0
1537	5	0
1538	4	0
1539	15	0
1540	14	0
1541	1	0
1542	1	0
1543	1	0
1544	1	0
1545	1	0
1546	1	0
1547	1	0
1548	1	0
1549	1	0
1550	1	0
1551	2	0
1552	2	0
1553	2	0
1554	2	0
1555	1	0
1556	2	0
1557	1	0
1558	2	0
1559	2	0
1560	2	0
1561	3	0
1562	1	0
1563	1	0
1564	1	0
1565	1	0
1566	1	0
1567	1	0
1568	1	0
1569	2	0
1570	1	0
1571	1	0
1572	5	0
1573	2	0
1574	3	0
1575	1	0
1576	1	0
1577	6	0
1578	1	0
1579	1	0
1580	6	0
1581	2	0
1582	7	0
1583	2	0
1584	12	0
1585	13	0
1586	1	0
1587	11	0
1588	6	0
1589	1	0
1590	9	0
1591	2	0
1592	1	0
1593	1	0
1594	1	0
1595	1	0
1596	24	0
1597	1	0
1598	2	0
1599	1	0
1600	1	0
1601	1	0
1602	1	0
1603	1	0
1604	1	0
1605	1	0
1606	1	0
1607	3	0
1608	1	0
1609	6	0
1610	1	0
1611	15	0
1612	7	0
1613	1	0
1614	5	0
1615	2	0
1616	1	0
1617	3	0
1618	3	0
1619	5	0
1620	3	0
1621	3	0
1622	1	0
1623	2	0
1624	2	0
1625	1	0
1626	1	0
1627	1	0
1628	1	0
1629	1	0
1630	1	0
1631	2	0
1632	1	0
1633	5	0
1634	7	0
1635	9	0
1636	7	0
1637	1	0
1638	4	0
1639	14	0
1640	1	0
1641	2	0
1642	1	0
1643	1	0
1644	1	0
1645	2	0
1646	7	0
1647	1	0
1648	5	0
1649	1	0
1650	1	0
1651	1	0
1652	1	0
1653	3	0
1654	1	0
1655	1	0
1656	2	0
1657	1	0
1658	1	0
1659	28	0
1660	2	0
1661	1	0
1662	1	0
1663	3	0
1664	1	0
1665	2	0
1666	3	0
1667	1	0
1668	3	0
1669	1	0
1670	1	0
1671	7	0
1672	3	0
1673	1	0
1674	1	0
1675	1	0
1676	1	0
1677	2	0
1678	2	0
1679	4	0
1680	4	0
1681	1	0
1682	1	0
1683	4	0
1684	1	0
