POS	occur	unknown
1	12	0
2	18	0
3	4	0
4	9	0
5	3	0
6	11	0
7	4	0
8	16	0
9	20	0
10	26	0
11	18	0
12	7	0
13	2	0
14	9	0
15	13	0
16	14	0
17	11	0
18	18	0
19	1	0
20	24	0
21	5	0
22	25	0
23	1	0
24	8	0
25	5	0
26	7	0
27	1	0
28	9	0
29	18	0
30	19	0
31	12	0
32	3	0
33	24	0
34	8	0
35	10	0
36	1	0
37	25	0
38	10	0
39	3	0
40	9	0
41	20	0
42	3	0
43	5	0
44	8	0
45	6	0
46	3	0
47	13	0
48	2	0
49	19	0
50	1	0
51	7	0
52	1	0
53	9	0
54	3	0
55	2	0
56	14	0
57	7	0
58	7	0
59	1	0
60	7	0
61	5	0
62	4	0
63	12	0
64	10	0
65	10	0
66	5	0
67	3	0
68	4	0
69	28	0
70	14	0
71	5	0
72	5	0
73	3	0
74	20	0
75	3	0
76	24	0
77	2	0
78	4	0
79	10	0
80	11	0
81	11	0
82	11	0
83	8	0
84	9	0
85	4	0
86	4	0
87	1	0
88	1	0
89	1	0
90	1	0
91	7	0
92	7	0
93	6	0
94	6	0
95	2	0
96	1	0
97	20	0
98	2	0
99	2	0
100	26	0
101	7	0
102	16	0
103	7	0
104	6	0
105	4	0
106	16	0
107	16	0
108	14	0
109	7	0
110	20	0
111	9	0
112	9	0
113	6	0
114	5	0
115	1	0
116	1	0
117	1	0
118	11	0
119	9	0
120	2	0
121	19	0
122	2	0
123	17	0
124	22	0
125	1	0
126	10	0
127	1	0
128	13	0
129	11	0
130	2	0
131	2	0
132	8	0
133	26	0
134	28	0
135	6	0
136	2	0
137	19	0
138	7	0
139	1	0
140	1	0
141	1	0
142	1	0
143	1	0
144	2	0
145	7	0
146	10	0
147	11	0
148	12	0
149	12	0
150	3	0
151	3	0
152	11	0
153	10	0
154	10	0
155	12	0
156	12	0
157	12	0
158	12	0
159	12	0
160	12	0
161	12	0
162	1	0
163	1	0
164	8	0
165	8	0
166	17	0
167	1	0
168	1	0
169	10	0
170	10	0
171	3	0
172	11	0
173	2	0
174	8	0
175	8	0
176	23	0
177	18	0
178	2	0
179	11	0
180	1	0
181	1	0
182	1	0
183	24	0
184	24	0
185	17	0
186	1	0
187	1	0
188	1	0
189	2	0
190	1	0
191	1	0
192	5	0
193	1	0
194	1	0
195	5	0
196	1	0
197	6	0
198	5	0
199	1	0
200	1	0
201	1	0
202	2	0
203	26	0
204	26	0
205	5	0
206	13	0
207	2	0
208	1	0
209	1	0
210	1	0
211	8	0
212	12	0
213	21	0
214	12	0
215	27	0
216	1	0
217	16	0
218	16	0
219	28	0
220	7	0
221	1	0
222	1	0
223	5	0
224	29	0
225	28	0
226	4	0
227	13	0
228	15	0
229	30	0
230	11	0
231	21	0
232	1	0
233	27	0
234	22	0
235	2	0
236	10	0
237	18	0
238	16	0
239	17	0
240	7	0
241	8	0
242	7	0
243	11	0
244	21	0
245	2	0
246	26	0
247	7	0
248	26	0
249	18	0
250	16	0
251	30	0
252	19	0
253	13	0
254	11	0
255	7	0
256	19	0
257	14	0
258	10	0
259	11	0
260	23	0
261	2	0
262	6	0
263	12	0
264	1	0
265	5	0
266	6	0
267	21	0
268	19	0
269	17	0
270	1	0
271	5	0
272	1	0
273	14	0
274	7	0
275	12	0
276	7	0
277	30	0
278	29	0
279	29	0
280	27	0
281	20	0
282	13	0
283	16	0
284	12	0
285	9	0
286	27	0
