POS	exp01	exp10
1	9.785	14.03
2	4.762	6.502
3	7.76	5.851
4	9.075	7.894
5	6.201	4.672
6	5.553	9.615
7	7.234	6.083
8	4.373	4.513
9	6.87	7.261
10	1.167	2.994
11	2.038	3.821
12	7.091	4.836
13	3.142	1.506
14	3.931	6.201
15	4.494	3.968
16	8.171	12.06
17	2.104	1.584
18	4.376	3.196
19	1.866	1.106
20	3.04	6.275
21	7.693	11.48
22	3.146	5.116
23	2.379	1.725
24	8.056	7.327
25	7.915	8.519
26	1.481	0.3827
27	1.866	1.106
28	5.121	5.987
29	6.941	3.399
30	5.686	3.228
31	1.338	0.6736
32	4.128	6.285
33	1.437	3.985
34	3.925	1.993
35	6.553	8.406
36	1.866	1.106
37	2.291	6.104
38	5.013	8.266
39	7.196	6.503
40	10.89	6.194
41	4.156	5.622
42	6.026	5.592
43	4.709	5.121
44	2.674	0.589
45	1.459	1.045
46	5.474	3.711
47	1.47	0.6519
48	3.522	4.862
49	1.183	1.762
50	1.866	1.106
51	1.481	0.3827
52	2.277	1.918
53	8.108	4.729
54	4.575	8.053
55	3.956	2.515
56	7.931	4.118
57	2.755	1.655
58	2.755	1.655
59	1.866	1.106
60	4.563	3.021
61	3.746	4.622
62	7.522	6.767
63	4.54	1.293
64	1.596	0.5566
65	1.596	0.5566
66	7.72	6.591
67	5.266	2.966
68	7.89	5.49
69	1.331	3.982
70	7.601	8.699
71	2.088	2.678
72	3.65	4.54
73	4.561	2.338
74	6.577	4.025
75	5.814	4.749
76	1.237	4.908
77	3.142	1.506
78	5.351	6.832
79	4.242	2.514
80	2.268	3.556
81	4.387	3.384
82	4.387	3.384
83	2.759	0.7993
84	3.937	1.052
85	7.527	5.31
86	7.527	5.31
87	2.564	2.237
88	2.564	2.237
89	2.564	2.237
90	2.564	2.237
91	1.477	3.256
92	1.477	3.256
93	1.447	2.006
94	1.447	2.006
95	3.983	3.681
96	2.277	1.918
97	7.647	8.436
98	3.513	2.298
99	2.476	2.696
100	1.559	4.748
101	2.648	1.34
102	3.106	7.202
103	1.481	0.3827
104	1.459	1.045
105	5.994	5.974
106	3.125	2.673
107	3.125	2.673
108	4.502	2.701
109	1.481	0.3827
110	5.126	6.907
111	1.686	1.573
112	1.686	1.573
113	1.459	1.045
114	7.367	4.679
115	1.866	1.106
116	1.866	1.106
117	1.866	1.106
118	3.185	2.337
119	9.694	9.785
120	3.5	2.197
121	8.194	6.295
122	3.142	1.506
123	9.628	3.262
124	5.108	3.854
125	1.866	1.106
126	2.666	0.8613
127	2.607	2.056
128	8.674	7.091
129	3.72	1.753
130	3.777	2.649
131	3.777	2.649
132	2.674	0.589
133	1.651	4.739
134	2.029	2.266
135	1.447	2.006
136	3.883	2.498
137	7.399	10.95
138	4.313	2.789
139	1.866	1.106
140	1.866	1.106
141	1.866	1.106
142	1.866	1.106
143	1.866	1.106
144	3.712	2.495
145	1.481	0.3827
146	2.883	0.8275
147	4.19	1.389
148	4.03	3.571
149	4.03	3.571
150	3.427	2.549
151	3.427	2.549
152	5.278	1.898
153	5.978	2.88
154	3.763	1.344
155	4.03	3.571
156	4.03	3.571
157	4.03	3.571
158	4.03	3.571
159	4.03	3.571
160	4.03	3.571
161	4.03	3.571
162	2.094	1.391
163	1.866	1.106
164	2.674	0.589
165	2.674	0.589
166	3.563	4.443
167	2.313	2.049
168	2.242	1.769
169	5.415	1.687
170	5.415	1.687
171	4.548	2.724
172	6.444	2.46
173	3.905	2.691
174	2.674	0.589
175	2.674	0.589
176	2.3	4.379
177	2.836	2.028
178	4.597	4.048
179	5.768	2.423
