# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2.001
#  1->0 =1
#  1->1 =0
POS	MP01	MP10
768	0	6
769	1	0
770	0	4
771	1	0
772	0	5
773	1	3
774	0	5
775	1	2
776	1	0
777	2	0
778	0	6
779	1	0
780	1	6
781	0	5
782	1	0
783	1	0
784	0	6
785	0	5
786	0	6
787	0	4
788	0	7
789	3	0
790	0	7
791	0	7
792	0	7
793	2	1
794	1	2
795	1	2
796	1	2
797	3	0
798	1	2
799	1	0
800	1	0
801	0	2
802	1	0
803	1	0
804	3	1
805	1	0
806	2	0
807	1	0
808	0	7
809	0	4
810	0	5
811	0	4
812	1	0
813	0	3
814	0	3
815	0	3
816	0	7
817	2	0
818	1	0
819	0	6
820	1	0
821	1	0
822	2	0
823	1	4
824	0	8
825	0	3
826	0	1
827	1	0
828	1	0
829	0	8
830	0	8
831	2	5
832	2	2
833	1	2
834	0	3
835	0	2
836	0	3
837	0	4
838	0	3
839	0	7
840	1	8
841	0	10
842	1	8
843	1	1
844	1	0
845	0	4
846	1	1
847	1	1
848	1	0
849	2	0
850	1	0
851	1	0
852	1	0
853	1	0
854	1	0
855	1	0
856	1	0
857	4	0
858	1	0
859	1	0
860	0	4
861	1	0
862	2	6
863	3	1
864	3	0
865	3	0
866	1	8
867	1	8
868	1	1
869	1	1
870	1	8
871	1	8
872	1	5
873	1	0
874	1	0
875	1	0
876	0	5
877	0	6
878	0	6
879	1	0
880	4	3
881	4	2
882	4	2
883	1	6
884	3	0
885	3	0
886	3	3
887	3	5
888	3	4
889	1	0
890	1	2
891	1	2
892	2	0
893	2	0
894	0	7
895	0	7
896	0	7
897	0	6
898	1	8
899	1	8
900	1	8
901	4	0
902	1	6
903	1	6
904	1	2
905	1	5
906	1	5
907	1	2
908	2	0
909	1	1
910	1	2
911	1	0
912	1	4
913	1	4
914	1	7
915	1	7
916	0	4
917	1	0
918	1	0
919	1	0
920	1	0
921	1	5
922	1	1
923	0	1
924	0	1
925	1	0
926	0	1
927	0	10
928	3	4
929	3	5
930	1	1
931	0	3
932	1	7
933	1	1
934	0	4
935	1	4
936	3	0
937	1	0
938	1	0
939	2	0
940	0	6
941	1	0
942	1	0
943	3	0
944	0	3
945	0	3
946	0	5
947	1	1
948	0	4
949	0	4
950	1	0
951	1	0
952	1	1
953	1	0
954	2	0
955	1	4
956	0	4
957	0	6
958	0	4
959	1	0
960	1	0
961	2	0
962	3	1
963	1	0
964	1	0
965	0	5
966	1	0
967	1	0
968	1	0
969	0	5
970	1	2
971	1	0
972	2	0
973	1	0
974	2	2
975	2	4
976	0	3
977	3	1
978	0	2
979	1	0
980	0	4
981	1	0
982	0	4
983	0	2
984	1	9
985	2	5
986	0	2
987	0	5
988	0	2
989	0	3
990	0	1
991	0	1
992	0	11
993	0	5
994	0	2
995	1	6
996	1	5
997	3	0
998	1	5
999	0	5
1000	0	2
1001	1	0
1002	0	11
1003	1	7
1004	1	5
1005	0	6
1006	1	2
1007	0	7
1008	0	2
1009	1	5
1010	1	5
1011	1	1
1012	0	1
1013	1	0
1014	0	6
1015	3	1
1016	3	1
1017	0	11
1018	1	1
1019	0	6
1020	1	5
1021	2	2
1022	0	2
1023	0	2
1024	1	1
1025	1	0
1026	0	9
1027	0	3
1028	1	1
1029	1	2
1030	0	5
1031	1	0
1032	0	8
1033	1	2
1034	1	0
1035	0	6
1036	1	0
1037	1	0
1038	1	2
1039	1	2
1040	1	2
1041	1	2
1042	1	1
1043	1	3
1044	1	2
1045	1	2
1046	1	2
1047	1	4
1048	0	2
1049	0	6
1050	0	2
1051	0	4
1052	0	8
1053	1	5
1054	1	1
1055	0	1
1056	2	2
1057	1	2
1058	1	1
1059	1	2
1060	1	3
1061	0	8
1062	0	3
1063	2	3
1064	0	7
1065	2	1
1066	2	0
1067	1	0
1068	0	6
1069	1	0
1070	1	0
1071	1	0
1072	1	0
1073	2	0
1074	1	0
1075	3	1
1076	1	0
1077	0	5
1078	0	12
1079	1	0
1080	1	0
1081	1	0
1082	1	1
1083	2	1
1084	0	2
1085	1	0
1086	1	0
1087	1	0
1088	1	1
1089	1	2
1090	1	1
1091	1	0
1092	1	0
1093	1	0
1094	1	0
1095	1	0
1096	1	0
1097	0	4
1098	1	0
1099	1	0
1100	0	5
1101	1	1
1102	1	1
1103	2	1
1104	1	1
1105	1	1
1106	1	1
1107	1	0
1108	1	2
1109	1	2
1110	1	0
1111	1	0
1112	1	3
1113	1	3
1114	1	2
1115	1	0
1116	1	2
1117	0	14
1118	0	13
1119	3	7
1120	1	1
1121	1	3
1122	1	0
1123	1	2
1124	1	2
1125	0	5
1126	2	0
1127	1	10
1128	1	9
1129	0	5
1130	2	0
1131	2	0
1132	1	1
1133	1	0
1134	2	0
1135	1	3
1136	0	5
1137	1	1
1138	0	2
1139	0	2
1140	0	2
1141	0	2
1142	1	0
1143	1	5
1144	1	0
1145	2	0
1146	2	0
1147	0	5
1148	1	2
1149	1	2
1150	1	2
1151	1	2
1152	1	3
1153	3	2
1154	0	1
1155	1	0
1156	0	5
1157	1	0
1158	0	3
1159	1	0
1160	1	1
1161	1	1
1162	1	1
1163	1	0
1164	1	2
1165	1	0
1166	1	0
1167	1	0
1168	1	8
1169	1	1
1170	1	0
1171	0	4
1172	0	5
1173	1	6
1174	0	7
1175	0	2
1176	0	5
1177	2	1
1178	1	0
1179	1	1
1180	1	0
1181	2	0
1182	0	4
1183	1	0
1184	1	3
1185	0	10
1186	2	3
1187	1	0
1188	2	1
1189	1	0
1190	1	2
1191	0	4
1192	2	0
1193	2	2
1194	2	2
1195	1	0
1196	1	0
1197	0	7
1198	0	7
1199	0	6
1200	1	1
1201	1	3
1202	1	0
1203	2	1
1204	1	0
1205	2	0
1206	0	6
1207	1	0
1208	0	1
1209	1	1
1210	1	0
1211	1	0
1212	1	0
1213	0	3
1214	1	0
1215	1	2
1216	2	0
1217	2	0
1218	1	0
1219	0	5
1220	0	6
1221	1	2
1222	1	1
1223	1	2
1224	1	0
1225	2	1
1226	1	0
1227	1	3
1228	1	1
1229	2	2
1230	1	1
1231	1	1
1232	0	4
1233	1	0
1234	1	3
1235	1	0
1236	1	0
1237	2	0
1238	2	0
1239	2	0
1240	0	3
1241	2	0
1242	2	5
1243	2	4
1244	0	4
1245	1	2
1246	1	0
1247	1	1
1248	1	0
1249	1	1
1250	2	0
1251	0	2
1252	0	6
1253	2	0
1254	1	0
1255	1	0
1256	2	0
1257	0	6
1258	1	4
1259	2	1
1260	1	0
1261	1	1
1262	1	1
1263	1	1
1264	1	2
1265	0	5
1266	1	1
1267	1	1
1268	1	1
1269	0	7
1270	0	3
1271	1	0
1272	1	0
1273	1	1
1274	1	0
1275	1	2
1276	1	1
1277	1	1
1278	1	0
1279	2	3
1280	1	0
1281	0	9
1282	1	0
1283	0	5
1284	1	0
1285	1	2
1286	1	2
1287	3	0
1288	1	1
1289	1	2
1290	1	1
1291	0	7
1292	1	1
1293	2	0
1294	2	0
1295	1	0
1296	2	4
1297	1	0
1298	1	2
1299	1	1
1300	2	1
1301	1	1
1302	3	0
1303	1	0
1304	1	0
1305	1	0
1306	1	0
1307	1	0
1308	1	0
1309	2	0
1310	2	1
1311	2	1
1312	0	3
1313	2	0
1314	2	0
1315	1	0
1316	1	0
1317	1	1
1318	1	1
1319	1	0
1320	1	0
1321	1	0
1322	1	1
1323	1	1
1324	1	1
1325	1	2
1326	1	0
1327	1	0
1328	0	2
1329	1	1
1330	1	0
1331	3	0
1332	1	0
1333	1	0
1334	1	0
1335	1	0
1336	1	2
1337	2	3
1338	1	1
1339	1	0
1340	0	5
1341	1	0
1342	0	10
1343	1	0
1344	1	0
1345	0	6
1346	0	9
1347	1	1
1348	1	0
1349	1	1
1350	1	1
1351	0	5
1352	3	1
1353	1	1
1354	0	4
1355	1	0
1356	1	0
1357	1	0
1358	1	0
1359	1	0
1360	1	0
1361	0	10
1362	1	0
1363	2	0
1364	1	0
1365	0	9
1366	1	0
1367	1	0
1368	1	0
1369	1	0
1370	1	1
1371	2	0
1372	1	0
1373	2	0
1374	1	1
1375	1	1
1376	3	1
1377	1	0
1378	1	0
1379	1	1
1380	1	2
1381	0	5
1382	1	1
1383	1	0
1384	1	0
1385	1	1
1386	1	0
1387	1	0
1388	0	6
1389	2	0
1390	2	0
1391	2	0
1392	1	0
1393	0	2
1394	1	0
1395	1	0
1396	1	0
1397	1	0
1398	1	0
1399	1	0
1400	1	2
1401	1	1
1402	1	0
1403	0	2
1404	1	0
1405	2	0
1406	1	0
1407	1	1
1408	1	1
1409	1	0
1410	1	0
1411	2	0
1412	2	0
1413	1	0
1414	1	1
1415	0	5
1416	0	10
1417	1	0
1418	1	0
1419	2	0
1420	1	1
1421	0	3
1422	1	0
1423	1	0
1424	1	0
1425	1	0
1426	1	0
1427	1	0
1428	1	0
1429	1	0
1430	0	2
1431	0	4
1432	0	3
1433	1	0
1434	0	7
1435	1	0
1436	1	0
1437	1	0
1438	3	0
1439	3	0
1440	3	0
1441	4	0
1442	3	0
1443	1	0
1444	1	0
1445	1	0
1446	1	0
1447	1	1
1448	0	3
1449	1	0
1450	3	6
1451	0	8
1452	0	7
1453	0	3
1454	1	0
1455	1	0
1456	3	0
1457	1	0
1458	1	0
1459	2	0
1460	1	1
1461	1	0
1462	0	3
1463	1	0
1464	0	6
1465	1	0
1466	2	1
1467	1	0
1468	0	5
1469	1	2
1470	1	0
1471	1	0
1472	1	0
1473	0	4
1474	1	0
1475	2	0
1476	2	0
1477	1	0
1478	1	1
1479	1	1
1480	1	0
1481	1	0
1482	2	0
1483	0	3
1484	1	0
1485	1	0
1486	1	0
1487	1	0
1488	1	0
1489	1	0
1490	1	0
1491	1	0
1492	1	0
1493	2	0
1494	1	1
1495	1	1
1496	1	0
1497	1	0
1498	1	0
1499	1	2
1500	0	2
1501	1	0
1502	1	1
1503	1	0
1504	1	0
1505	1	0
1506	1	3
1507	1	1
1508	1	0
1509	2	0
1510	1	1
1511	1	0
1512	1	0
1513	0	2
1514	1	0
1515	1	0
1516	1	0
1517	1	0
1518	1	2
1519	1	2
1520	0	4
1521	1	0
1522	1	0
1523	1	0
1524	1	2
1525	1	0
1526	1	0
1527	1	0
1528	2	0
1529	2	0
1530	2	0
1531	2	0
1532	1	0
1533	1	0
1534	1	0
1535	0	3
1536	1	0
1537	1	2
1538	1	3
1539	0	6
1540	0	7
1541	1	0
1542	1	0
1543	1	0
1544	1	0
1545	1	0
1546	1	0
1547	1	0
1548	1	0
1549	1	0
1550	1	0
1551	2	0
1552	2	0
1553	2	0
1554	2	0
1555	1	0
1556	2	0
1557	1	0
1558	0	4
1559	2	0
1560	1	0
1561	1	1
1562	1	0
1563	1	0
1564	1	0
1565	1	0
1566	1	0
1567	1	0
1568	1	0
1569	1	1
1570	1	0
1571	1	0
1572	1	1
1573	1	1
1574	3	0
1575	1	0
1576	1	0
1577	1	0
1578	1	0
1579	1	0
1580	0	3
1581	1	0
1582	1	0
1583	2	0
1584	1	0
1585	1	0
1586	1	0
1587	0	4
1588	1	0
1589	1	0
1590	3	2
1591	2	0
1592	1	0
1593	1	0
1594	1	0
1595	1	0
1596	0	4
1597	1	0
1598	0	3
1599	1	0
1600	1	0
1601	1	0
1602	1	0
1603	1	0
1604	1	0
1605	1	0
1606	1	0
1607	0	5
1608	1	0
1609	1	0
1610	1	0
1611	0	9
1612	1	0
1613	1	0
1614	1	0
1615	2	0
1616	1	0
1617	0	5
1618	0	5
1619	1	3
1620	1	4
1621	1	4
1622	1	0
1623	0	3
1624	0	3
1625	1	0
1626	1	0
1627	1	0
1628	1	0
1629	1	0
1630	1	0
1631	1	0
1632	1	0
1633	1	1
1634	1	0
1635	3	0
1636	1	0
1637	1	0
1638	1	3
1639	1	6
1640	1	0
1641	2	0
1642	1	0
1643	1	0
1644	1	0
1645	1	1
1646	1	2
1647	1	0
1648	1	4
1649	1	0
1650	1	0
1651	1	0
1652	1	0
1653	1	2
1654	1	0
1655	0	2
1656	1	0
1657	1	0
1658	1	0
1659	0	3
1660	0	3
1661	1	0
1662	1	0
1663	3	0
1664	1	0
1665	2	0
1666	1	1
1667	1	0
1668	1	0
1669	1	0
1670	1	0
1671	1	4
1672	1	1
1673	1	0
1674	1	0
1675	1	0
1676	1	0
1677	1	0
1678	1	0
1679	1	0
1680	1	0
1681	1	0
1682	1	0
1683	2	0
1684	1	0
