# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2.001
#  1->0 =1
#  1->1 =0
POS	MP01	MP10
1	0	14
2	0	6
3	4	0
4	1	8
5	3	0
6	2	5
7	1	4
8	0	6
9	0	8
10	0	2
11	0	4
12	1	5
13	2	0
14	1	5
15	0	6
16	0	11
17	0	3
18	0	5
19	1	0
20	0	6
21	1	4
22	0	5
23	1	0
24	4	1
25	3	1
26	1	0
27	1	0
28	0	7
29	0	8
30	0	7
31	1	0
32	1	1
33	0	3
34	3	0
35	2	4
36	1	0
37	0	5
38	2	4
39	2	2
40	0	12
41	0	6
42	1	2
43	2	1
44	2	0
45	1	0
46	0	6
47	0	2
48	1	1
49	0	1
50	1	0
51	1	0
52	1	0
53	1	6
54	1	4
55	2	0
56	0	7
57	2	0
58	2	0
59	1	0
60	1	3
61	1	2
62	2	3
63	0	6
64	1	0
65	1	0
66	0	7
67	3	0
68	3	2
69	0	3
70	0	10
71	1	1
72	1	2
73	3	0
74	0	7
75	1	2
76	0	4
77	2	0
78	1	3
79	0	5
80	1	2
81	1	5
82	1	5
83	2	0
84	3	0
85	2	3
86	2	3
87	1	0
88	1	0
89	1	0
90	1	0
91	0	3
92	0	3
93	0	3
94	0	3
95	1	2
96	1	0
97	0	9
98	1	2
99	1	0
100	0	4
101	2	0
102	0	5
103	1	0
104	1	0
105	0	6
106	0	4
107	0	4
108	0	5
109	1	0
110	0	7
111	1	1
112	1	1
113	1	0
114	1	6
115	1	0
116	1	0
117	1	0
118	0	4
119	0	11
120	0	3
121	0	8
122	2	0
123	0	10
124	0	5
125	1	0
126	0	4
127	1	0
128	0	7
129	0	4
130	2	0
131	2	0
132	2	0
133	0	4
134	0	2
135	0	3
136	2	0
137	0	9
138	2	1
139	1	0
140	1	0
141	1	0
142	1	0
143	1	0
144	2	0
145	1	0
146	0	4
147	0	4
148	0	4
149	0	4
150	0	4
151	0	4
152	1	4
153	1	5
154	0	4
155	0	4
156	0	4
157	0	4
158	0	4
159	0	4
160	0	4
161	0	4
162	1	0
163	1	0
164	2	0
165	2	0
166	2	2
167	0	2
168	1	0
169	4	0
170	4	0
171	1	3
172	1	6
173	2	0
174	2	0
175	2	0
176	0	4
177	2	1
178	1	2
179	0	5
180	1	0
181	1	0
182	1	0
183	0	5
184	0	5
185	0	8
186	1	0
187	1	0
188	1	0
189	1	1
190	1	0
191	1	0
192	1	2
193	1	0
194	1	0
195	0	6
196	1	0
197	3	3
198	1	2
199	1	0
200	1	0
201	1	0
202	1	1
203	0	2
204	0	5
205	2	1
206	1	4
207	1	1
208	0	2
209	1	0
210	1	0
211	3	6
212	0	5
213	0	7
214	0	9
215	0	3
216	1	0
217	0	8
218	0	8
219	0	2
220	1	0
221	1	0
222	1	0
223	0	5
224	0	2
225	0	2
226	0	4
227	0	5
228	0	5
229	0	1
230	0	5
231	0	4
232	1	0
233	0	4
234	0	4
235	1	2
236	0	10
237	0	2
238	1	7
239	0	7
240	1	0
241	2	0
242	0	8
243	0	7
244	0	5
245	2	0
246	0	3
247	1	0
248	0	3
249	0	12
250	0	3
251	0	1
252	0	8
253	0	11
254	0	7
255	1	0
256	0	9
257	0	3
258	0	5
259	0	3
260	0	6
261	1	1
262	4	2
263	2	2
264	1	0
265	2	2
266	0	7
267	0	6
268	0	8
269	1	2
270	1	0
271	0	4
272	1	0
273	0	3
274	0	6
275	2	5
276	2	0
277	0	1
278	0	1
279	0	2
280	0	3
281	0	8
282	0	10
283	0	4
284	0	4
285	1	1
286	0	1
287	0	4
288	0	6
289	0	5
290	1	2
291	2	1
292	0	6
293	0	7
294	1	0
295	0	4
296	1	0
297	0	4
298	0	4
299	1	0
300	0	8
301	2	0
302	0	1
303	0	7
304	1	0
305	2	2
306	2	0
307	0	3
308	0	7
309	2	3
310	0	3
311	1	1
312	2	0
313	1	2
314	1	2
315	1	1
316	1	0
317	0	3
318	0	7
319	3	4
320	0	3
321	0	6
322	0	8
323	0	6
324	4	0
325	0	11
326	1	1
327	1	0
328	0	6
329	0	1
330	1	6
331	1	5
332	0	7
333	0	6
334	1	4
335	0	5
336	1	0
337	0	6
338	0	2
339	0	9
340	0	6
341	0	7
342	1	4
343	1	2
344	1	0
345	1	3
346	1	1
347	1	0
348	1	0
349	0	2
350	1	1
351	0	4
352	1	0
353	0	3
354	1	3
355	0	5
356	0	3
357	0	6
358	0	3
359	0	2
360	1	9
361	0	3
362	0	8
363	0	7
364	0	4
365	1	0
366	1	0
367	0	5
368	0	3
369	0	1
370	0	2
371	0	2
372	0	4
373	0	6
374	2	4
375	0	1
376	0	1
377	1	0
378	0	6
379	0	5
380	3	1
381	0	1
382	0	1
383	0	5
384	0	6
385	1	0
386	0	4
387	0	2
388	1	7
389	0	8
390	0	3
391	0	8
392	1	0
393	0	5
394	1	0
395	0	2
396	0	3
397	1	0
398	1	0
399	1	0
400	0	6
401	3	1
402	1	3
403	1	1
404	0	2
405	0	2
406	2	0
407	2	0
408	3	1
409	3	1
410	2	0
411	2	0
412	0	9
413	1	4
414	2	1
415	1	0
416	0	4
417	1	2
418	0	4
419	1	0
420	2	0
421	2	1
422	2	1
423	1	0
424	0	10
425	1	2
426	4	2
427	0	4
428	1	0
429	1	1
430	0	6
431	0	6
432	0	11
433	0	5
434	1	0
435	0	5
436	2	0
437	0	3
438	2	0
439	1	0
440	0	11
441	1	0
442	0	4
443	1	6
444	2	4
445	0	5
446	0	11
447	1	0
448	0	7
449	2	0
450	0	3
451	0	10
452	1	6
453	1	10
454	1	0
455	2	4
456	0	4
457	3	5
458	1	8
459	3	0
460	1	0
461	0	8
462	0	7
463	0	8
464	1	0
465	1	0
466	1	4
467	3	0
468	1	2
469	1	7
470	1	5
471	1	5
472	1	6
473	1	0
474	1	1
475	0	9
476	0	5
477	0	3
478	0	6
479	2	0
480	0	3
481	0	8
482	1	7
483	0	9
484	0	2
485	1	6
486	2	6
487	3	0
488	3	0
489	3	0
490	0	7
491	2	1
492	5	0
493	0	2
494	0	7
495	0	3
496	0	10
497	0	3
498	0	3
499	2	0
500	1	0
501	1	0
502	2	4
503	0	1
504	2	4
505	2	0
506	0	6
507	0	6
508	2	0
509	1	0
510	1	9
511	1	6
512	0	8
513	1	2
514	1	1
515	2	8
516	0	11
517	2	8
518	0	10
519	0	8
520	0	4
521	0	4
522	2	2
523	1	7
524	1	1
525	1	0
526	2	0
527	0	5
528	0	5
529	0	1
530	1	1
531	2	5
532	0	5
533	1	0
534	0	10
535	1	0
536	1	0
537	1	5
538	1	0
539	1	0
540	1	6
541	4	0
542	2	0
543	1	2
544	1	2
545	1	0
546	2	2
547	1	6
548	3	4
549	2	2
550	1	1
551	1	0
552	0	4
553	0	4
554	0	2
555	0	6
556	1	2
557	1	0
558	0	11
559	1	0
560	1	0
561	1	6
562	3	4
563	1	1
564	0	9
565	0	8
566	1	3
567	2	0
568	0	6
569	1	0
570	0	9
571	0	4
572	2	2
573	0	5
574	0	4
575	0	10
576	1	3
577	1	3
578	1	5
579	3	4
580	1	2
581	1	0
582	2	5
583	1	3
584	1	1
585	1	1
586	2	6
587	2	0
588	1	0
589	1	9
590	1	10
591	1	9
592	0	6
593	0	8
594	0	6
595	0	7
596	0	6
597	0	8
598	2	5
599	1	2
600	0	9
601	0	6
602	0	7
603	0	4
604	1	1
605	1	6
606	1	0
607	1	1
608	0	6
609	1	4
610	0	4
611	1	2
612	1	2
613	0	7
614	0	7
615	1	1
616	1	0
617	3	1
618	1	9
619	0	8
620	1	0
621	3	0
622	0	10
623	0	7
624	0	6
625	2	0
626	0	3
627	3	0
628	0	7
629	0	7
630	2	1
631	1	0
632	2	1
633	0	6
634	0	4
635	0	4
636	0	8
637	1	0
638	0	4
639	0	4
640	1	0
641	0	5
642	2	2
643	1	0
644	2	0
645	1	0
646	1	0
647	0	5
648	0	7
649	0	6
650	0	3
651	0	7
652	0	4
653	1	7
654	2	6
655	0	8
656	0	8
657	1	0
658	0	3
659	3	3
660	0	5
661	2	3
662	0	7
663	0	5
664	2	0
665	1	5
666	1	4
667	2	0
668	2	0
669	0	4
670	1	0
671	0	8
672	0	2
673	0	7
674	3	3
675	1	0
676	0	1
677	0	2
678	1	0
679	1	8
680	0	5
681	0	8
682	2	1
683	1	0
684	1	0
685	1	0
686	5	1
687	0	13
688	0	7
689	0	6
690	0	5
691	1	10
692	3	5
693	0	8
694	3	6
695	1	2
696	0	9
697	0	7
698	0	7
699	1	7
700	0	6
701	1	1
702	1	2
703	0	4
704	0	3
705	2	3
706	1	6
707	1	6
708	1	0
709	0	5
710	2	0
711	0	3
712	2	0
713	1	4
714	1	0
715	1	10
716	1	0
717	1	0
718	2	0
719	0	3
720	0	3
721	0	2
722	1	0
723	0	1
724	0	3
725	0	3
726	0	7
727	0	3
728	0	4
729	0	5
730	2	0
731	1	0
732	1	2
733	1	10
734	0	9
735	1	5
736	0	10
737	0	2
738	0	4
739	0	5
740	0	9
741	1	0
742	0	2
743	0	2
744	0	2
745	1	2
746	0	1
747	0	2
748	0	5
749	1	0
750	0	2
751	0	3
752	0	1
753	0	2
754	0	8
755	2	4
756	1	2
757	0	4
758	0	6
759	0	4
760	0	4
761	0	6
762	1	0
763	1	0
764	2	0
765	1	0
766	1	1
767	2	5
