POS	prob01	prob10
315	4.147	2.22
316	12.48	12.37
317	6.814	9.352
318	4.481	7.124
319	4.666	2.478
320	6.657	3.195
321	7.791	7.48
322	4.903	9.642
323	7.662	8.591
324	3.174	2.339
325	8.719	3.985
326	5.8	5.695
327	5.339	1.506
328	7.791	7.48
329	2.098	1.096
330	7.791	7.48
331	7.791	7.48
332	1.145	0.2385
333	4.374	1.726
334	2.285	2.721
335	6.97	9.235
336	6.138	3.388
337	3.549	4.369
338	3.549	4.369
339	3.549	4.369
340	2.454	1.503
341	1.895	2.825
342	7.023	7.7
343	7.023	7.7
344	13.07	12.41
345	2.833	2.813
346	5.641	6.77
347	2.054	2.236
348	7.098	8.735
349	2.054	2.236
350	2.054	2.236
351	2.054	2.236
352	2.454	1.503
353	1.207	0.8434
354	8.553	10.46
355	6.297	3.085
356	9.533	12.22
357	2.788	8.609
358	13.8	12.7
359	4.84	7.799
360	1.145	0.2385
361	1.145	0.2385
362	8.599	10.88
363	6.814	8.494
364	8.745	5.386
365	8.745	5.386
366	1.926	1.399
367	6.839	9.38
368	5.227	3.571
369	2.454	1.503
370	2.285	2.721
371	1.745	1.937
372	1.745	1.937
373	12.84	12.09
374	7.662	8.591
375	2.054	2.236
376	9.792	9.667
377	2.247	2.608
378	11.92	11.79
379	5.084	5.173
380	2.054	2.236
381	2.442	5.35
382	1.202	4.117
383	2.808	2.746
384	2.384	2.365
385	5.873	8.881
386	6.751	4.919
387	6.751	4.919
388	5.176	4.861
389	4.787	1.878
390	1.145	0.2385
391	7.165	8.783
392	3.549	4.369
393	2.054	2.236
394	9.025	8.963
395	2.054	2.236
396	5.101	1.098
397	6.671	7.06
398	3.946	5.956
399	2.054	2.236
400	7.777	7.678
401	7.777	7.678
402	6.675	7.272
403	1.545	4.092
404	2.048	2.392
405	9.722	10.02
406	6.671	7.06
407	3.531	0.9639
408	3.531	0.9639
409	3.531	0.9639
410	3.531	0.9639
411	1.145	0.2385
412	2.406	1.939
413	7.137	5.454
414	2.067	2.024
415	4.473	5.05
416	7.099	6.384
417	9.003	8.317
418	5.481	3.769
419	10.69	10.41
420	1.288	1.24
421	5.997	5.645
422	8.378	2.218
423	5.997	5.645
424	1.145	0.2385
425	1.145	0.2385
426	5.997	5.645
427	5.997	5.645
428	5.997	5.645
429	14.69	11.87
430	1.207	0.8434
431	2.054	2.236
432	8.805	1.147
433	8.805	1.147
434	2.054	2.236
435	2.054	2.236
436	8.834	2.897
437	12.53	10.95
438	9.686	3.539
439	3.965	4.309
440	9.24	6.219
441	3.805	3.188
442	9.517	9.416
443	2.571	3.186
444	8.839	5.108
445	11.31	11.67
446	1.145	0.2385
447	6.23	7.506
448	6.621	6.26
449	6.836	7.277
450	5.227	3.571
451	12.23	13.54
452	1.895	2.825
453	1.145	0.2385
454	6.757	4.347
455	5.196	1.294
456	3.946	5.956
457	1.145	0.2385
458	1.145	0.2385
459	11.57	10.73
460	11.31	11.67
461	1.145	0.2385
462	3.176	3.114
463	7.053	9.198
464	7.368	1.788
465	1.571	2.019
466	11.33	11.63
467	1.571	2.019
468	9.999	2.312
469	2.711	3.268
470	10.29	4.09
471	2.923	1.446
472	0.6258	2.018
473	7.224	3.718
474	1.145	0.2385
475	4.998	5.421
476	9.028	5.365
477	4.603	4.497
478	2.637	3.131
479	4.121	2.176
480	7.085	7.757
481	7.481	7.726
482	7.481	7.726
483	7.481	7.726
484	7.085	7.757
485	2.234	2.264
486	1.072	0.248
487	1.145	0.2385
488	4.929	2.301
489	8.378	2.218
490	1.425	2.254
491	1.176	1.236
492	1.592	1.302
493	2.153	0.8723
494	2.591	5.091
495	1.145	0.2385
496	7.465	6.855
497	4.543	1.407
498	2.247	2.608
499	2.247	2.608
500	6.573	6.479
501	1.145	0.2385
502	1.704	2.792
503	11.16	7.262
504	3.143	4.438
505	6.775	7.433
506	9.999	2.312
507	9.999	2.312
508	6.805	7.442
509	9.505	6.285
510	3.182	4.972
511	5.625	6.237
512	8	9.507
513	10.34	9.752
514	6.675	7.272
515	10.34	9.752
516	11.41	13.23
517	10.22	10.24
518	6.667	3.518
519	6.667	3.518
520	6.667	3.518
521	7.481	7.726
522	6.138	1.637
523	8.491	4.447
524	1.207	3.162
525	8.491	4.447
526	1.592	1.302
527	11.5	11.44
528	2.247	2.608
529	8.834	2.897
530	8.076	1.773
531	2.637	3.131
532	3.757	2.018
533	5.352	1.683
534	1.145	0.2385
535	5.341	2.044
536	10.67	6.201
537	5.352	1.683
538	8.378	2.218
539	1.592	1.302
540	1.145	0.2385
541	1.019	1.209
542	1.019	1.209
543	3.047	3.311
544	11.31	10.96
545	12.4	11.53
546	9.104	9.454
547	7.74	8.581
548	5.937	2.955
549	2.054	2.236
550	5.937	2.955
551	11.99	12.73
552	4.979	7.871
553	2.363	3.943
554	4.509	5.569
555	6.946	8.186
556	2.054	2.236
557	4.669	2.08
558	2.384	2.365
559	7.357	4.876
560	9.562	5.861
561	9.24	6.219
562	2.808	2.746
563	2.808	2.746
564	6.268	1.47
565	2.054	2.236
566	2.054	2.236
567	1.207	0.8434
568	2.054	2.236
569	7.086	3.52
570	3.182	4.972
571	1.924	1.688
572	1.924	1.688
573	1.924	1.688
574	1.924	1.688
575	1.924	1.688
576	12.24	12.34
577	7.194	1.777
578	7.194	1.777
579	2.247	2.608
580	2.247	2.608
581	7.481	7.726
582	2.247	2.608
583	4.151	5.526
584	9.34	12.38
585	10.73	5.087
586	8.952	5.499
587	2.054	2.236
588	5.686	5.482
589	6.573	6.479
590	2.054	2.236
591	2.054	2.236
592	5.101	1.098
593	7.777	7.678
594	2.054	2.236
595	11.41	13.23
596	4.603	4.497
597	4.603	4.497
598	2.054	2.236
599	11.41	13.23
600	6.527	7.354
601	5.501	7.648
602	2.054	2.236
603	7.745	3.899
604	2.454	1.503
605	3.152	4.15
606	12.46	11.34
607	7.55	3.266
608	2.454	1.503
609	6.475	9.179
610	1.145	0.2385
611	1.161	1.234
612	6.828	2.91
613	9.846	10.71
614	4.254	1.022
615	4.146	2.123
616	9.233	8.522
617	3.061	2.632
618	14.69	11.87
619	1.207	0.8434
620	10.61	11.76
621	5.508	1.964
622	3.965	4.309
623	11.92	11.79
624	14.07	12.16
625	4.603	4.497
626	3.275	3.716
627	9.34	12.38
628	1.545	4.092
629	3.359	3.88
630	5.237	4.945
631	6.879	4.747
632	5.227	3.571
633	12.19	13.38
634	3.317	3.875
635	11.5	10.2
636	3.716	5.046
637	6.314	3.804
638	2.054	2.236
639	2.054	2.236
640	1.984	1.971
641	11.52	12.31
642	3.408	2.657
643	3.408	2.657
644	1.145	0.2385
645	7.457	1.432
646	5.508	1.964
647	6.305	0.9863
648	1.145	0.2385
649	9.686	11.02
650	9.686	11.02
651	3.143	4.438
652	3.047	3.311
653	10.9	12.24
654	7.4	6.24
655	6.912	4.738
656	1.145	0.2385
657	5.136	0.9699
658	1.422	1.264
659	3.094	3.237
660	11.42	13.34
661	6.704	9.063
662	8.726	10.91
663	2.054	2.236
664	1.145	0.2385
665	5.997	5.645
666	5.997	5.645
667	3.047	5.142
668	7.452	9.805
669	2.989	5.318
670	7.882	8.534
671	8.468	6.115
672	8.669	7.965
673	6.218	5.67
674	8.378	2.218
675	5.947	8.425
676	8.135	10.37
677	9.191	8.478
678	6.573	6.479
679	2.054	2.236
680	5.176	1.868
681	4.019	1.065
682	4.138	6.098
683	3.174	2.339
684	4.002	6.436
685	4.726	1.871
686	4.146	2.123
687	2.054	2.236
688	9.653	8.548
689	7.368	1.788
690	9.026	10.65
691	6.185	8.924
692	6.185	8.924
693	9.025	8.963
694	8.834	2.897
695	1.145	0.2385
696	1.145	0.2385
697	1.145	0.2385
698	3.993	3.579
699	8.378	2.218
700	3.088	1.37
701	2.384	2.365
702	1.592	1.302
703	13.86	14.38
704	7.74	8.581
705	7.085	7.757
706	12.82	12.47
707	2.048	2.392
708	2.363	3.943
709	8	9.507
710	5.341	2.044
711	4.334	4.838
712	3.512	3.361
713	11.61	11.05
714	11.61	11.05
715	9.078	9.503
716	1.833	0.9852
717	1.833	0.9852
718	4.981	1.38
719	7.195	1.15
720	5.387	2.088
721	8.638	5.665
722	4.297	7.796
